300085,536503235.4000001,93.0,99.0,80.0,100.0,372.0
300326,159183710.0,93.0,93.0,87.0,97.0,370.0
300291,340905088.93000001,99.0,82.0,87.0,98.0,366.0
002714,274249301.65999997,99.0,76.0,91.0,99.0,365.0
000695,106636778.92999999,98.0,96.0,73.0,97.0,364.0
002318,898629417.0,95.0,97.0,73.0,97.0,362.0
300043,557286830.19000006,99.0,97.0,67.0,99.0,362.0
300285,144064435.72,100.0,78.0,85.0,98.0,361.0
600446,1122834460.0799999,94.0,98.0,69.0,94.0,355.0
300107,67853443.420000002,99.0,84.0,78.0,91.0,352.0
002219,276722003.35999995,90.0,80.0,92.0,90.0,352.0
300336,189132652.5,96.0,70.0,90.0,95.0,351.0
002366,538058560.07000005,97.0,94.0,61.0,99.0,351.0
002699,168505149.23000002,94.0,91.0,78.0,88.0,351.0
002475,541855292.0,97.0,65.0,94.0,94.0,350.0
603993,985950147.5,94.0,58.0,99.0,99.0,350.0
002701,822224904.58999991,92.0,88.0,75.0,94.0,349.0
300268,53982760.289999999,62.0,100.0,86.0,100.0,348.0
300369,279805381.35000002,97.0,90.0,65.0,96.0,348.0
002162,150643366.91,98.0,90.0,69.0,88.0,345.0
603017,444771223.17999995,100.0,97.0,50.0,97.0,344.0
000922,232964151.72000003,99.0,74.0,73.0,98.0,344.0
300199,282102390.85000002,90.0,92.0,75.0,87.0,344.0
603588,1025502388.0,100.0,98.0,47.0,99.0,344.0
601700,217890944.69999999,95.0,66.0,88.0,94.0,343.0
002337,1082312181.4400001,95.0,100.0,51.0,96.0,342.0
300113,386843066.23000002,97.0,93.0,57.0,94.0,341.0
603333,235856889.05999997,100.0,93.0,51.0,97.0,341.0
600836,1470164240.8999999,100.0,98.0,43.0,99.0,340.0
000802,335411996.32999998,97.0,85.0,58.0,99.0,339.0
300059,3836630948.8999996,85.0,87.0,68.0,99.0,339.0
000567,41484148.390000001,88.0,88.0,71.0,91.0,338.0
002432,267317017.25,92.0,98.0,60.0,88.0,338.0
300004,181103918.15000001,93.0,84.0,79.0,81.0,337.0
601208,356016902.55000007,98.0,95.0,49.0,95.0,337.0
000526,69358576.5,89.0,96.0,59.0,92.0,336.0
300017,1912769969.55,98.0,94.0,48.0,96.0,336.0
603169,966102165.3599999,100.0,92.0,44.0,100.0,336.0
300033,1602734816.1799998,96.0,98.0,42.0,99.0,335.0
000060,2802079459.9200001,99.0,98.0,40.0,98.0,335.0
600988,438262111.68000001,92.0,94.0,52.0,97.0,335.0
300329,142013031.91999999,97.0,91.0,57.0,90.0,335.0
000585,375967016.18000007,100.0,100.0,36.0,98.0,334.0
002357,81290171.550000012,93.0,83.0,71.0,87.0,334.0
600674,1433074426.0999999,67.0,100.0,80.0,86.0,333.0
600547,3795427277.77,85.0,100.0,47.0,100.0,332.0
002408,270562287.56,94.0,78.0,83.0,77.0,332.0
002684,117088145.68000001,92.0,74.0,77.0,89.0,332.0
002280,273144934.30000001,92.0,59.0,89.0,91.0,331.0
002101,225223381.0,96.0,87.0,53.0,95.0,331.0
600588,2158414400.6599998,77.0,96.0,60.0,98.0,331.0
300147,684622472.08000004,88.0,95.0,52.0,95.0,330.0
600317,781880194.48000002,86.0,95.0,64.0,85.0,330.0
300222,126624484.41000001,91.0,72.0,81.0,86.0,330.0
600083,65202576.380000003,84.0,99.0,62.0,85.0,330.0
002657,834245957.93999994,91.0,96.0,46.0,96.0,329.0
300102,212008652.80000001,99.0,79.0,57.0,92.0,327.0
002438,401765755.13999999,100.0,95.0,35.0,97.0,327.0
601111,3538722259.96,74.0,87.0,67.0,98.0,326.0
002447,112386831.59000002,96.0,85.0,74.0,71.0,326.0
300378,241868399.88,97.0,93.0,48.0,87.0,325.0
600219,3062378639.75,88.0,94.0,44.0,99.0,325.0
600107,529163651.47999996,100.0,98.0,30.0,96.0,324.0
000030,439422384.36000001,95.0,78.0,58.0,93.0,324.0
002370,87058679.080000013,94.0,78.0,63.0,88.0,323.0
600678,238334030.00999999,72.0,100.0,54.0,97.0,323.0
603889,444278463.48000002,100.0,97.0,33.0,93.0,323.0
601007,143006167.93000001,90.0,83.0,56.0,93.0,322.0
600455,63161357.099999994,73.0,97.0,55.0,97.0,322.0
300377,712520624.95000005,99.0,95.0,34.0,94.0,322.0
300178,583176971.75999999,87.0,91.0,53.0,90.0,321.0
000950,92000672.960000008,97.0,72.0,63.0,89.0,321.0
600993,377020104.41999996,90.0,90.0,52.0,89.0,321.0
600650,465136095.74000001,98.0,97.0,37.0,88.0,320.0
600489,4053821369.7600002,77.0,94.0,49.0,99.0,319.0
600885,310332113.55000001,78.0,71.0,74.0,96.0,319.0
600800,218213965.30000001,92.0,99.0,42.0,86.0,319.0
000777,2433190582.73,98.0,100.0,26.0,95.0,319.0
600312,2417458513.2699995,98.0,94.0,29.0,97.0,318.0
000711,60509310.120000005,70.0,90.0,67.0,91.0,318.0
002635,134185317.54999998,92.0,67.0,70.0,89.0,318.0
600662,383934010.06000006,95.0,83.0,51.0,88.0,317.0
002690,152892633.53,98.0,69.0,76.0,74.0,317.0
600774,14029445.800000001,66.0,76.0,95.0,80.0,317.0
000923,172436568.61999997,90.0,89.0,42.0,96.0,317.0
300332,391597258.56,76.0,98.0,52.0,91.0,317.0
600778,579791225.79999995,99.0,93.0,28.0,96.0,316.0
600160,630257161.12,94.0,89.0,45.0,88.0,316.0
601899,6537461150.0,79.0,91.0,47.0,99.0,316.0
000639,139209111.19999999,94.0,75.0,64.0,82.0,315.0
000720,238900849.97000003,63.0,92.0,61.0,99.0,315.0
600536,1378331468.8200002,91.0,95.0,37.0,92.0,315.0
601012,1472870258.1300001,86.0,89.0,52.0,88.0,315.0
000957,773170971.28000009,92.0,78.0,46.0,99.0,315.0
002618,165473596.67000002,96.0,91.0,61.0,66.0,314.0
000625,3409909307.1799994,84.0,61.0,69.0,100.0,314.0
600328,150841088.94,86.0,74.0,59.0,95.0,314.0
002271,283334633.25,73.0,66.0,84.0,91.0,314.0
002417,183408264.08999997,95.0,89.0,35.0,95.0,314.0
002477,412306819.22000003,94.0,60.0,70.0,90.0,314.0
000895,2257639005.5599999,73.0,92.0,57.0,91.0,313.0
600309,2769344172.0299997,74.0,91.0,53.0,95.0,313.0
