date,open,close,volume
2015-12-31,19.6,19.28,104021.8
2015-12-30,19.3,19.57,117530.41
2015-12-29,20.04,19.37,210876.3
2015-12-28,21.02,20.0,183369.33
2015-12-25,21.0,21.11,167298.31
2015-12-24,20.6,21.05,147231.88
2015-12-23,21.3,20.63,205197.55
2015-12-22,21.01,21.55,200938.16
2015-12-21,21.9,20.98,306698.94
2015-12-18,21.7,22.25,321309.38
2015-12-17,21.4,21.9,310869.25
2015-12-16,21.02,21.38,287289.09
2015-12-15,20.8,21.14,285720.12
2015-12-14,20.58,20.85,358228.72
2015-12-11,24.0,21.5,613042.75
2015-12-10,21.97,23.66,345265.78
2015-12-09,21.0,21.51,653711.38
2015-12-08,21.0,21.87,979207.0
2015-12-07,19.88,19.88,35048.14
2015-12-04,18.07,18.07,98253.96
2015-05-27,15.0,16.48,354969.44
2015-05-26,14.62,14.98,352684.28
2015-05-25,12.98,14.33,325051.5
2015-05-22,13.1,13.03,274371.66
2015-05-21,11.71,12.85,267779.84
2015-05-20,11.5,11.7,235640.38
2015-05-19,11.05,11.51,184909.52
2015-05-18,11.05,11.05,134029.95
2015-05-15,11.38,11.05,152997.95
2015-05-14,11.5,11.38,144467.3
2015-05-13,11.33,11.58,228287.56
2015-05-12,11.17,11.27,177605.97
2015-05-11,10.81,11.17,162405.86
2015-05-08,10.38,10.63,138311.38
2015-05-07,10.52,10.16,132641.48
2015-05-06,11.05,10.57,162008.92
2015-05-05,11.58,11.0,197552.77
2015-05-04,11.52,11.57,189829.08
2015-04-30,11.85,11.49,313965.19
2015-04-29,10.95,11.48,245647.3
2015-04-28,11.11,10.82,183377.16
2015-04-27,10.91,11.12,239961.23
2015-04-24,10.8,10.84,220348.3
2015-04-23,10.85,11.04,219024.19
2015-04-22,10.62,10.82,200604.38
2015-04-21,10.2,10.6,174151.64
2015-04-20,10.67,10.2,264085.09
2015-04-17,10.6,10.9,288457.12
2015-04-16,10.34,10.47,216383.33
2015-04-15,11.1,10.43,367029.56
2015-04-14,10.25,10.41,174777.12
2015-04-13,10.19,10.26,222795.14
2015-04-10,9.37,10.18,262652.78
2015-04-09,9.59,9.35,168930.16
2015-04-08,9.74,9.57,161644.53
2015-04-07,9.68,9.72,220419.58
2015-04-03,9.09,9.67,237187.44
2015-04-02,8.96,9.12,172259.39
2015-04-01,8.81,8.96,136853.19
2015-03-31,9.09,8.81,142616.7
2015-03-30,8.86,9.02,163007.97
2015-03-27,8.65,8.84,145862.12
2015-03-26,8.72,8.66,166473.02
2015-03-25,8.62,8.79,122613.98
2015-03-24,8.8,8.65,149972.56
2015-03-23,8.67,8.79,140110.48
2015-03-20,8.57,8.61,121665.66
2015-03-19,8.66,8.6,102881.13
2015-03-18,8.41,8.73,154852.77
2015-03-17,8.41,8.45,149335.84
2015-03-16,8.23,8.41,148285.67
2015-03-13,7.95,8.19,114692.38
2015-03-12,8.08,7.92,110165.0
2015-03-11,8.15,8.1,102019.46
2015-03-10,7.97,8.11,127725.36
2015-03-09,7.93,7.99,89697.53
2015-03-06,7.86,7.93,144035.84
2015-03-05,7.76,7.83,97532.29
2015-03-04,7.68,7.77,79998.37
2015-03-03,7.69,7.65,127988.97
2015-03-02,7.64,7.73,84523.95
2015-02-27,7.56,7.59,65241.17
2015-02-26,7.5,7.55,51958.1
2015-02-25,7.47,7.49,57829.57
2015-02-24,7.5,7.52,1847.0
2015-02-17,7.52,7.48,46245.61
2015-02-16,7.4,7.5,47311.46
2015-02-13,7.32,7.4,49156.89
2015-02-12,7.29,7.3,35604.97
2015-02-11,7.23,7.28,30734.36
2015-02-10,7.17,7.24,23821.21
2015-02-09,7.1,7.12,22508.58
2015-02-06,7.18,7.12,37337.58
2015-02-05,7.31,7.2,43115.0
2015-02-04,7.32,7.23,49081.65
2015-02-03,7.24,7.33,51103.65
2015-02-02,7.25,7.2,64112.99
2015-01-30,7.47,7.4,58920.59
2015-01-29,7.58,7.52,72061.46
2015-01-28,7.59,7.65,85875.43
2015-01-27,7.62,7.63,112917.88
2015-01-26,7.35,7.62,106494.94
2015-01-23,7.52,7.39,81180.24
2015-01-22,7.36,7.49,94111.27
2015-01-21,7.19,7.36,71019.66
2015-01-20,7.07,7.19,61966.76
2015-01-19,7.29,7.0,107136.66
2015-01-16,7.41,7.46,66838.73
2015-01-15,7.32,7.39,57265.87
2015-01-14,7.4,7.3,81210.84
2015-01-13,7.33,7.44,68804.11
2015-01-12,7.76,7.39,151564.89
2015-01-09,7.9,7.87,392557.31
2015-01-08,7.52,7.99,311174.78
2015-01-07,7.53,7.56,83687.24
2015-01-06,7.5,7.57,76618.49
2015-01-05,7.38,7.57,94405.86
