date,open,close,volume
2015-12-31,8.95,9.02,305668.44
2015-12-30,8.86,8.93,204365.23
2015-12-29,8.9,8.85,195369.94
2015-12-28,9.2,8.85,369174.31
2015-12-25,9.2,9.11,244196.56
2015-12-24,9.1,9.15,422671.5
2015-12-23,8.95,9.07,441498.5
2015-12-22,9.0,8.93,254215.0
2015-12-21,8.7,9.0,459414.41
2015-12-18,8.84,8.77,249840.92
2015-12-17,8.8,8.82,302558.25
2015-12-16,8.83,8.71,221760.64
2015-12-15,8.72,8.81,240160.02
2015-12-14,8.41,8.78,268117.38
2015-12-11,8.71,8.58,283052.81
2015-12-10,8.81,8.78,237487.98
2015-12-09,8.78,8.81,299770.59
2015-12-08,9.1,8.8,431883.12
2015-12-07,9.29,9.17,566858.44
2015-12-04,9.23,9.28,449474.31
2015-12-03,9.41,9.36,625916.88
2015-12-02,8.93,9.18,466935.34
2015-12-01,9.0,8.96,330448.22
2015-11-30,8.69,8.95,529448.94
2015-11-27,9.37,8.56,543779.81
2015-11-26,9.2,9.38,707530.38
2015-11-25,9.02,9.1,289251.72
2015-11-24,9.09,9.01,294071.66
2015-11-23,9.1,9.05,290736.62
2015-11-20,9.18,9.08,316739.16
2015-11-19,9.06,9.15,350180.31
2015-11-18,9.3,9.05,495759.09
2015-11-17,9.44,9.38,639465.0
2015-11-16,9.27,9.44,472294.31
2015-11-13,9.33,9.41,693353.44
2015-11-12,9.62,9.34,676348.56
2015-11-11,9.14,9.6,1266924.25
2015-11-10,9.56,9.29,1622688.0
2015-11-09,8.69,8.69,30591.96
2015-10-30,7.89,7.9,496299.88
2015-10-29,7.83,7.88,473736.75
2015-10-28,7.96,7.74,389541.22
2015-10-27,7.91,7.96,452494.06
2015-10-26,7.89,8.0,725383.5
2015-10-23,7.64,7.76,491703.22
2015-10-22,7.37,7.55,399565.72
2015-10-21,8.06,7.31,744736.88
2015-10-20,7.98,8.04,493665.03
2015-10-19,8.19,7.92,798641.0
2015-10-16,7.67,8.1,874791.81
2015-10-15,7.42,7.67,467639.97
2015-10-14,7.72,7.46,470567.03
2015-10-13,7.55,7.61,514392.5
2015-10-12,7.32,7.61,805949.5
2015-10-09,7.13,7.37,496089.69
2015-10-08,7.08,7.19,500574.12
2015-10-07,6.88,6.91,4998.0
2015-09-30,6.91,6.83,235798.94
2015-09-29,6.69,6.91,244717.19
2015-09-28,6.78,6.91,203256.55
2015-09-25,7.0,6.7,324023.22
2015-09-24,7.01,7.05,328815.5
2015-09-23,7.16,7.0,452220.84
2015-09-22,7.1,7.31,615712.5
2015-09-21,6.85,7.09,363321.84
2015-09-18,6.96,6.9,319697.22
2015-09-17,6.98,6.89,694322.44
2015-09-16,6.42,7.0,506960.84
2015-09-15,6.77,6.39,495197.62
2015-09-14,7.72,6.95,581664.56
2015-09-11,7.75,7.72,505293.88
2015-09-10,7.77,7.8,916816.31
2015-09-09,7.65,7.75,842452.44
2015-09-08,7.13,7.51,719192.94
2015-09-07,7.18,7.1,743496.81
2015-09-02,6.41,6.82,687715.06
2015-09-01,7.51,6.92,901103.94
2015-08-31,8.02,7.69,946687.06
2015-08-28,7.68,8.29,2169625.5
2015-08-27,7.85,8.01,2336827.0
2015-08-26,7.0,7.29,1193079.75
2015-08-25,7.0,6.98,1184836.12
2015-08-24,8.19,7.75,611185.19
2015-08-21,8.78,8.61,440884.81
2015-08-20,8.83,8.91,487591.31
2015-08-19,8.5,8.91,579280.81
2015-08-18,9.86,8.87,704751.12
2015-08-17,9.49,9.85,823018.38
2015-08-14,9.64,9.46,640799.06
2015-08-13,9.1,9.5,565723.19
2015-08-12,9.49,9.19,665729.0
2015-08-11,9.51,9.66,1029510.5
2015-08-10,8.71,9.18,760339.31
2015-08-07,8.55,8.77,428226.62
2015-08-06,8.52,8.46,314914.06
2015-08-05,8.95,8.75,511830.47
2015-08-04,8.69,9.06,586383.81
2015-08-03,8.68,8.61,585952.69
2015-07-31,8.05,8.56,572952.69
2015-07-30,8.49,8.2,489530.97
2015-07-29,8.3,8.5,495961.19
2015-07-28,7.95,8.15,813395.56
2015-07-27,8.74,8.12,615018.12
2015-07-24,9.27,9.02,854383.06
2015-07-23,9.1,9.29,786969.88
2015-07-22,9.17,9.08,636695.31
2015-07-21,9.01,9.16,668540.25
2015-07-20,9.05,9.24,880788.94
2015-07-17,8.55,9.01,867059.94
2015-07-16,7.89,8.41,768604.69
2015-07-15,8.93,8.33,1481494.25
2015-07-14,8.12,8.12,37274.17
2015-07-06,7.92,7.38,973216.06
2015-07-03,7.85,7.21,895587.94
2015-07-02,8.91,8.01,664508.75
2015-07-01,9.46,8.9,731405.44
2015-06-30,8.7,9.46,978005.56
2015-06-29,10.19,8.91,819562.38
2015-06-26,10.4,9.9,684814.19
2015-06-25,11.2,11.0,778360.88
2015-06-24,11.15,11.12,681614.19
2015-06-23,11.3,10.93,711167.88
2015-06-19,12.16,11.34,848170.88
2015-06-18,13.58,12.6,990355.38
2015-06-17,13.84,13.68,1126903.5
2015-06-16,13.13,13.78,1647947.88
2015-06-15,13.6,13.4,1262976.12
2015-06-12,13.49,13.52,1096020.5
2015-06-11,13.59,13.51,874987.25
2015-06-10,13.25,13.59,691931.0
2015-06-09,13.85,13.44,801380.44
2015-06-08,13.39,13.84,1168989.62
2015-06-05,13.52,13.39,1018263.81
2015-06-04,13.51,13.28,904574.88
2015-06-03,14.23,13.62,1110960.75
2015-06-02,27.27,28.28,567074.62
2015-06-01,26.58,27.27,688167.56
2015-05-29,25.28,26.0,511103.12
2015-05-28,25.51,25.28,702458.19
2015-05-27,24.68,24.8,452508.78
2015-05-26,23.88,24.62,541004.62
2015-05-25,23.56,23.85,476883.38
2015-05-22,22.5,23.45,608460.38
2015-05-21,21.85,22.12,447159.47
2015-05-19,20.33,21.1,288914.62
2015-05-18,21.2,20.32,232085.48
2015-05-15,21.53,20.8,281427.84
2015-05-14,20.6,20.81,269770.72
2015-05-13,20.05,20.49,287226.0
2015-05-12,20.12,20.02,221372.09
2015-05-11,19.2,19.9,223752.05
2015-05-08,18.8,19.13,187552.44
2015-05-07,19.12,18.38,206204.17
2015-05-06,20.0,19.3,228241.7
2015-05-05,21.25,20.02,251146.75
2015-05-04,20.45,21.32,309880.28
2015-04-30,20.69,20.4,291308.22
2015-04-29,22.08,21.2,417201.62
2015-04-28,21.02,21.96,645727.75
2015-04-27,20.1,20.52,629416.44
2015-04-24,21.24,20.56,1340450.88
2015-04-23,19.31,19.31,9542.45
2015-04-22,17.55,17.55,5103.53
2015-04-21,15.95,15.95,1849.76
2015-04-20,14.5,14.5,6924.32
2015-01-16,13.13,13.18,156574.56
2015-01-15,12.84,13.07,92280.39
2015-01-14,12.9,12.85,75709.22
2015-01-13,12.64,12.91,125499.25
2015-01-12,12.88,12.63,138062.98
2015-01-09,13.0,13.01,149556.81
2015-01-08,13.36,13.01,189557.55
2015-01-07,13.18,13.35,146136.23
2015-01-06,13.17,13.3,204401.33
2015-01-05,13.67,13.25,264666.53
