Date,Open,High,Low,Close,Volume,Adj Close
2015-10-30,24.2,25.8,22.48,23.86,410962.56,0
2015-10-29,22.22,24.27,22.0,24.27,282695.75,0
2015-10-28,22.6,23.9,21.8,22.06,219491.05,0
2015-10-27,22.59,23.64,21.56,23.2,272296.84,0
2015-10-26,23.49,23.49,21.8,22.6,317012.28,0
2015-10-23,23.6,25.6,23.1,23.95,421731.56,0
2015-10-22,21.8,23.76,21.8,23.76,410054.84,0
2015-10-21,23.6,25.29,21.57,21.6,372457.34,0
2015-10-20,24.0,24.34,22.9,23.97,331160.97,0
2015-10-19,23.35,24.37,23.0,24.37,389580.25,0
2015-10-16,21.21,23.26,20.88,22.15,356532.97,0
2015-10-15,19.8,21.15,18.82,21.15,352546.44,0
2015-10-14,17.32,19.23,17.3,19.23,259757.5,0
2015-10-13,16.68,17.99,16.5,17.48,281137.12,0
2015-10-12,16.5,17.47,16.16,17.04,358765.97,0
2015-10-09,15.88,15.88,15.88,15.88,12531.97,0
2015-09-22,14.33,14.9,13.99,14.44,236499.88,0
2015-09-21,13.13,14.35,12.99,14.05,182655.8,0
2015-09-18,13.48,14.04,13.1,13.55,163355.19,0
2015-09-17,14.0,15.01,13.5,13.51,258665.92,0
2015-09-16,13.5,14.76,13.05,14.4,230796.3,0
2015-09-15,13.42,13.96,13.42,13.42,183224.59,0
2015-09-14,16.2,16.3,14.91,14.91,183323.56,0
2015-09-11,15.74,16.9,15.21,16.57,279018.41,0
2015-09-10,15.01,16.92,14.75,15.7,292434.34,0
2015-09-09,15.15,16.16,14.9,15.38,281906.66,0
2015-09-08,13.2,15.14,13.18,15.14,186770.2,0
2015-09-07,13.95,14.73,13.54,13.76,173926.92,0
2015-09-02,13.75,15.68,13.73,13.73,232921.58,0
2015-09-01,15.53,15.89,15.26,15.26,182506.2,0
2015-08-31,17.5,18.78,16.5,16.95,373219.09,0
2015-08-28,15.88,17.22,15.42,17.22,271703.72,0
2015-08-27,16.95,17.29,15.24,15.65,372748.22,0
2015-08-26,17.25,18.68,16.93,16.93,401454.38,0
2015-08-25,18.81,19.25,18.81,18.81,133021.38,0
2015-08-24,21.45,22.05,20.9,20.9,249999.55,0
2015-08-21,25.15,25.79,23.22,23.22,485397.28,0
2015-08-20,28.05,28.05,25.41,25.8,741673.06,0
2015-08-19,22.0,25.5,21.53,25.5,390427.81,0
2015-08-18,23.18,23.18,22.0,23.18,464552.56,0
2015-08-17,19.41,21.07,19.4,21.07,111131.45,0
