date,open,close,volume
2015-12-31,18.65,18.18,51241.36
2015-12-30,17.6,18.8,82023.46
2015-12-29,17.21,17.6,30703.56
2015-12-28,17.75,17.19,50404.52
2015-12-25,17.53,17.74,27686.29
2015-12-24,17.38,17.57,36686.8
2015-12-23,18.2,17.55,47733.45
2015-12-22,18.12,18.26,51881.19
2015-12-21,18.0,18.12,47232.71
2015-12-18,18.05,18.03,56454.63
2015-12-17,17.6,18.4,92556.95
2015-12-16,17.6,17.49,74738.01
2015-12-15,16.9,17.79,86235.76
2015-12-14,17.02,17.08,93674.99
2015-12-11,16.73,17.51,143288.02
2015-12-10,16.3,16.58,31381.73
2015-12-09,16.05,16.41,37499.45
2015-12-08,16.72,16.17,35312.25
2015-12-07,16.51,17.0,41773.3
2015-12-04,16.72,16.55,41545.37
2015-12-03,15.8,16.85,43675.2
2015-12-02,16.66,16.1,45749.44
2015-12-01,16.48,16.6,61375.87
2015-11-30,16.2,16.83,74243.32
2015-11-27,18.02,16.57,98408.76
2015-11-26,18.49,18.41,112187.5
2015-11-25,17.99,18.74,135758.91
2015-11-24,16.0,17.58,81720.5
2015-11-23,16.17,15.98,60205.27
2015-11-20,16.22,16.16,60958.88
2015-11-19,15.42,16.01,63516.92
2015-11-18,16.03,15.3,53636.59
2015-11-17,16.88,16.14,88258.21
2015-11-16,15.3,16.55,47267.79
2015-11-13,16.4,15.89,77142.55
2015-11-12,16.65,17.1,98537.61
2015-11-11,15.83,16.59,68419.45
2015-11-10,15.5,15.91,55466.91
2015-11-09,15.3,15.74,53651.19
2015-11-06,14.97,15.55,58908.06
2015-11-05,15.2,14.94,67007.4
2015-11-04,14.15,15.05,68590.86
2015-11-03,14.23,14.05,24351.81
2015-11-02,13.8,14.03,37926.62
2015-10-30,14.56,14.29,49851.02
2015-10-29,14.66,14.6,69573.37
2015-10-28,14.3,14.48,76846.44
2015-10-27,13.85,14.36,59551.33
2015-10-26,14.08,13.99,63494.66
2015-10-23,13.8,13.87,73161.99
2015-10-22,12.66,13.55,51246.68
2015-10-21,14.21,12.77,74897.05
2015-10-20,13.79,14.19,61460.12
2015-10-19,14.08,13.88,58342.07
2015-10-16,14.08,14.12,80701.36
2015-10-15,13.9,14.21,121250.57
2015-10-14,12.41,13.77,57052.01
2015-10-13,12.34,12.52,42938.12
2015-10-12,12.02,12.37,48492.0
2015-10-09,11.5,11.84,40423.79
2015-10-08,11.39,11.5,35946.19
2015-10-07,10.98,10.9,662.0
2015-09-30,10.91,10.92,22281.76
2015-09-29,10.93,10.79,24176.44
2015-09-28,10.77,11.13,26093.6
2015-09-25,11.33,10.7,44488.81
2015-09-24,11.32,11.42,35707.84
2015-09-23,11.0,11.28,49764.96
2015-09-22,11.23,11.25,43840.56
2015-09-21,10.6,11.28,39408.97
2015-09-18,10.55,10.75,29184.94
2015-09-17,10.4,10.5,45618.38
2015-09-16,9.59,10.47,32659.41
2015-09-15,9.65,9.52,28607.11
2015-09-14,11.2,10.06,30956.41
2015-09-11,11.17,11.18,21844.04
2015-09-10,11.06,11.08,32966.49
2015-09-09,10.99,11.42,52589.22
2015-09-08,10.13,10.8,39123.67
2015-09-07,9.98,10.11,39757.06
2015-09-02,9.77,9.64,29150.14
2015-09-01,10.83,9.99,30342.34
2015-08-31,11.5,10.95,37972.38
2015-08-28,10.88,11.69,47699.71
2015-08-27,10.48,10.73,34645.09
2015-08-26,10.5,10.05,50059.62
2015-08-25,10.5,10.31,38964.46
2015-08-24,12.2,11.46,31732.98
2015-08-21,13.61,12.73,40736.69
2015-08-20,14.2,13.58,50414.12
2015-08-19,13.79,14.36,59102.87
2015-08-18,15.9,14.29,82381.64
2015-08-17,15.61,15.88,66793.74
2015-08-14,15.86,15.7,53966.55
2015-08-13,15.17,15.76,48524.23
2015-08-12,15.28,15.18,45165.68
2015-08-11,15.85,15.6,60298.47
2015-08-10,15.03,15.8,82001.36
2015-08-07,14.5,14.95,81915.24
2015-08-06,13.4,14.52,86261.15
2015-08-05,13.7,13.74,52707.86
2015-08-04,12.7,13.73,48192.39
2015-08-03,13.51,12.65,46161.29
2015-07-31,13.5,13.84,31168.02
2015-07-30,14.0,13.75,38316.84
2015-07-29,13.58,14.3,43836.99
2015-07-28,12.47,13.27,70953.38
2015-07-27,14.6,13.59,59164.09
2015-07-24,15.67,15.1,83546.04
2015-07-23,15.2,15.7,63390.01
2015-07-22,15.24,15.12,52513.55
2015-07-21,14.91,15.2,56662.31
2015-07-20,14.82,15.04,68582.91
2015-07-17,13.96,14.8,51321.97
2015-07-16,13.29,13.95,80203.62
2015-07-15,14.19,13.3,69192.99
2015-07-14,14.85,14.78,116172.49
2015-07-13,14.4,14.54,76639.22
2015-07-10,12.8,13.22,28450.24
2015-07-09,10.5,12.02,79037.04
2015-07-08,10.21,10.93,130026.49
2015-07-07,12.01,11.34,30789.62
2015-07-06,14.76,12.6,76343.42
2015-07-03,14.1,13.42,68038.79
2015-07-02,15.63,14.38,56979.61
2015-07-01,16.48,15.51,73711.11
2015-06-30,15.4,16.68,71622.22
2015-06-29,17.9,15.44,75494.03
2015-06-26,18.34,17.15,63779.03
2015-06-25,20.47,19.05,50724.83
2015-06-24,20.38,20.47,62383.4
2015-06-23,18.91,19.84,68153.37
2015-06-19,20.45,18.77,76002.19
2015-06-18,21.99,20.85,55832.41
2015-06-17,20.9,21.95,60700.26
2015-06-16,22.52,21.01,84781.24
2015-06-15,24.54,22.94,89283.47
2015-06-12,23.94,24.36,78709.66
2015-06-11,23.9,23.85,57264.23
2015-06-10,23.19,24.11,80516.47
2015-06-09,23.0,23.38,60277.07
2015-06-08,24.05,23.19,93279.26
2015-06-05,24.43,24.35,94068.41
2015-06-04,24.76,24.27,106731.04
2015-06-03,26.08,25.1,130541.52
2015-06-02,25.52,26.06,147857.25
2015-06-01,23.0,25.13,158516.03
2015-05-29,24.49,23.19,160490.94
2015-05-28,23.13,23.71,193569.56
2015-05-27,22.7,23.52,100123.35
2015-05-26,21.79,22.94,99578.26
2015-05-25,21.35,21.74,76881.43
2015-05-22,22.33,21.98,97126.58
2015-05-21,22.22,22.33,102729.61
2015-05-20,21.77,22.21,101756.63
2015-05-19,20.9,21.8,91741.03
2015-05-18,20.3,20.87,86587.99
2015-05-15,21.08,20.35,96879.92
2015-05-14,19.65,21.52,137395.2
2015-05-13,20.15,19.58,104637.68
2015-05-12,20.32,20.89,116832.45
2015-05-11,20.06,20.39,138354.77
2015-05-08,18.8,20.25,136354.72
2015-05-07,18.0,18.41,156060.33
2015-05-06,17.65,17.85,106231.78
2015-05-05,18.12,17.63,62407.65
2015-05-04,17.61,18.17,79987.15
2015-04-30,17.23,17.66,116858.83
2015-04-29,16.38,17.2,66261.68
2015-04-28,17.2,16.48,68562.21
2015-04-27,17.68,17.28,97593.0
2015-04-24,17.41,17.52,95900.36
2015-04-23,16.75,17.73,146492.05
2015-04-22,16.2,16.9,107493.06
2015-04-21,15.57,16.17,82377.13
2015-04-20,16.38,15.49,85100.36
2015-04-17,16.71,16.48,90979.74
2015-04-16,16.0,16.59,71338.12
2015-04-15,16.7,16.44,114887.88
2015-04-14,16.51,16.74,103636.74
2015-04-13,16.44,16.6,80084.31
2015-04-10,15.75,16.38,78141.57
2015-04-09,16.48,15.9,100554.11
2015-04-08,17.15,16.52,102398.01
2015-04-07,17.0,17.11,100593.13
2015-04-03,16.5,16.85,109789.46
2015-04-02,16.4,16.68,127627.04
2015-04-01,16.2,16.48,135940.38
2015-03-31,15.26,16.52,205425.95
2015-03-30,15.49,15.26,74773.07
2015-03-27,15.5,15.55,84150.18
2015-03-26,15.09,15.54,114688.02
2015-03-25,14.7,15.24,100336.23
2015-03-24,15.17,14.84,105679.06
2015-03-23,14.73,15.16,100965.04
2015-03-20,14.5,14.73,67337.11
2015-03-19,14.5,14.63,84048.9
2015-03-18,14.42,14.56,74532.01
2015-03-17,14.42,14.4,83548.13
2015-03-16,14.38,14.4,85993.34
2015-03-13,13.69,14.27,64515.69
2015-03-12,13.95,13.66,44013.59
2015-03-11,13.61,13.94,68281.78
2015-03-10,13.45,13.63,48223.61
2015-03-09,13.33,13.5,29284.24
2015-03-06,13.66,13.29,40679.8
2015-03-05,13.78,13.66,28353.38
2015-03-04,13.73,13.76,39302.76
2015-03-03,13.49,13.54,55597.21
2015-03-02,13.37,13.51,36324.69
2015-02-27,13.27,13.3,22817.15
2015-02-26,13.17,13.22,20866.58
2015-02-25,13.22,13.07,20865.49
2015-02-24,13.29,13.41,523.0
2015-02-17,13.36,13.23,25711.68
2015-02-16,13.0,13.35,48036.76
2015-02-13,12.4,12.97,41778.8
2015-02-12,12.3,12.36,12048.64
2015-02-11,12.15,12.25,17940.1
2015-02-10,12.05,12.14,10466.07
2015-02-09,12.24,11.89,14002.02
2015-02-06,12.74,12.29,23966.89
2015-02-05,12.8,12.75,28553.21
2015-02-04,12.56,12.78,26774.34
2015-02-03,12.39,12.59,18398.24
2015-02-02,12.25,12.39,13768.79
2015-01-30,12.57,12.32,15246.89
2015-01-29,12.54,12.55,14393.58
2015-01-28,12.91,12.63,24734.72
2015-01-27,12.95,12.87,24012.93
2015-01-26,12.52,12.95,39162.7
2015-01-23,12.78,12.51,33622.32
2015-01-22,12.48,12.73,34559.48
2015-01-21,12.55,12.59,39371.28
2015-01-20,11.92,12.4,34539.25
2015-01-19,11.96,11.89,30538.16
2015-01-16,11.87,12.02,18801.95
2015-01-15,11.75,11.78,11502.53
2015-01-14,11.85,11.7,13590.04
2015-01-13,11.66,11.87,17859.22
2015-01-12,11.9,11.65,17833.72
2015-01-09,11.93,11.94,24118.9
2015-01-08,12.05,11.99,19016.34
2015-01-07,12.02,12.08,24887.85
2015-01-06,11.8,12.06,39380.56
2015-01-05,11.69,11.89,33360.44
