date,open,close,volume
2015-12-31,13.61,13.67,492112.16
2015-12-30,13.45,13.6,240110.08
2015-12-29,12.99,13.6,249277.48
2015-12-28,13.55,13.05,316593.22
2015-12-25,13.15,13.49,309074.38
2015-12-24,13.2,13.07,199714.94
2015-12-23,13.18,13.25,316922.31
2015-12-22,13.11,13.19,240676.94
2015-12-21,12.9,13.1,221892.56
2015-12-18,13.07,12.87,250829.31
2015-12-17,12.61,13.08,384818.59
2015-12-16,12.67,12.61,283101.12
2015-12-15,12.43,12.67,237091.94
2015-12-14,11.85,12.42,188114.41
2015-12-11,11.94,12.06,122605.21
2015-12-10,11.93,11.93,137394.77
2015-12-09,12.0,11.9,180313.2
2015-12-08,12.54,12.05,239603.41
2015-12-07,12.53,12.64,186782.81
2015-12-04,12.66,12.56,218894.81
2015-12-03,12.48,12.85,200200.95
2015-12-02,12.41,12.44,185877.88
2015-12-01,12.3,12.53,214304.91
2015-11-30,12.33,12.27,300754.56
2015-11-27,13.73,12.47,419188.81
2015-11-26,13.98,13.85,383167.28
2015-11-25,13.53,14.08,456984.03
2015-11-24,13.6,13.51,249949.48
2015-11-23,13.28,13.6,437335.94
2015-11-20,13.06,13.29,330186.38
2015-11-19,12.87,13.07,250674.75
2015-11-18,13.13,12.8,372674.16
2015-11-17,13.14,13.04,322988.16
2015-11-16,12.44,13.07,223554.3
2015-11-13,12.99,12.78,268048.38
2015-11-12,13.63,13.24,306421.78
2015-11-11,13.49,13.6,356782.09
2015-11-10,12.96,13.47,523522.03
2015-11-09,12.7,12.97,416139.81
2015-11-06,12.68,12.94,403964.88
2015-11-05,12.5,12.7,551530.06
2015-11-04,11.66,12.5,422933.53
2015-11-03,11.56,11.55,165058.8
2015-11-02,11.74,11.5,265081.97
2015-10-30,11.94,12.1,322488.25
2015-10-29,12.1,11.97,242174.11
2015-10-28,12.19,12.0,318662.34
2015-10-27,12.23,12.31,326416.06
2015-10-26,12.56,12.38,438887.78
2015-10-23,11.79,12.24,392122.78
2015-10-22,11.15,11.8,341841.09
2015-10-21,12.29,11.17,556717.38
2015-10-20,11.75,12.41,496833.66
2015-10-19,11.85,11.78,391877.91
2015-10-16,11.86,11.81,405267.59
2015-10-15,11.0,11.78,452125.19
2015-10-14,11.35,11.03,317872.91
2015-10-13,11.23,11.45,307481.53
2015-10-12,11.02,11.42,441625.0
2015-10-09,10.9,10.97,394355.16
2015-10-08,11.16,10.99,565787.0
2015-10-07,10.52,10.66,6956.0
2015-09-30,9.67,10.66,480979.41
2015-09-29,9.35,9.69,244934.98
2015-09-28,9.37,9.56,161235.88
2015-09-25,9.72,9.29,213162.08
2015-09-24,9.55,9.81,213851.17
2015-09-23,9.61,9.49,196763.39
2015-09-22,9.85,9.83,280945.44
2015-09-21,9.3,9.8,250292.5
2015-09-18,9.25,9.39,172696.47
2015-09-17,9.4,9.15,324494.06
2015-09-16,8.56,9.23,277420.38
2015-09-15,8.8,8.39,294603.12
2015-09-14,10.43,9.32,238982.72
2015-09-11,10.24,10.35,211959.36
2015-09-10,10.28,10.2,222708.92
2015-09-09,10.17,10.54,355265.44
2015-09-08,9.45,10.15,265826.16
