Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.12,7.17,7.04,7.06,106135.68,0
2015-12-30,7.12,7.14,7.01,7.07,87416.55,0
2015-12-29,7.08,7.11,6.98,7.1,88836.42,0
2015-12-28,7.1,7.24,7.05,7.08,147936.66,0
2015-12-25,7.03,7.13,7.01,7.08,93288.46,0
2015-12-24,7.16,7.16,6.97,7.04,116804.55,0
2015-12-23,7.23,7.25,7.1,7.15,130548.75,0
2015-12-22,7.23,7.25,7.13,7.24,125886.81,0
2015-12-21,7.13,7.23,7.09,7.21,138447.14,0
2015-12-18,7.23,7.23,7.1,7.14,120226.57,0
2015-12-17,7.13,7.27,7.13,7.23,147230.31,0
2015-12-16,7.03,7.14,7.02,7.06,89245.1,0
2015-12-15,7.03,7.09,7.01,7.05,87545.45,0
2015-12-14,6.8,7.1,6.7,7.08,131626.16,0
2015-12-11,6.96,6.96,6.77,6.82,88518.5,0
2015-12-10,6.92,7.05,6.92,6.97,87639.76,0
2015-12-09,7.03,7.07,6.94,7.01,87231.37,0
2015-12-08,7.2,7.25,7.01,7.03,115090.37,0
2015-12-07,7.25,7.32,7.18,7.28,93401.65,0
2015-12-04,7.31,7.35,7.17,7.23,143485.69,0
2015-12-03,7.06,7.49,7.06,7.38,193045.39,0
2015-12-02,7.09,7.12,6.84,7.11,146110.58,0
2015-12-01,7.05,7.11,6.96,7.08,152035.02,0
2015-11-30,7.13,7.33,6.64,7.05,220697.56,0
2015-11-27,7.76,7.88,7.07,7.16,278494.03,0
2015-11-26,8.0,8.03,7.79,7.81,208231.42,0
2015-11-25,7.9,8.04,7.83,7.99,224977.06,0
2015-11-24,7.9,7.97,7.78,7.94,184859.97,0
2015-11-23,8.06,8.07,7.86,7.9,286573.62,0
2015-11-20,8.16,8.16,7.96,8.06,331074.72,0
2015-11-19,8.16,8.26,7.88,8.22,479320.97,0
2015-11-18,8.63,9.1,8.26,8.32,970027.12,0
2015-11-17,8.45,8.45,8.45,8.45,82994.71,0
2015-11-09,7.68,7.79,7.47,7.68,350440.94,0
2015-11-06,7.64,7.75,7.54,7.73,333004.25,0
2015-11-05,7.62,7.83,7.49,7.65,457899.09,0
2015-11-04,7.34,7.64,7.34,7.63,344594.59,0
2015-11-03,7.37,7.56,7.25,7.34,281749.69,0
2015-11-02,7.36,7.83,7.26,7.59,586008.31,0
2015-10-30,7.11,7.3,7.03,7.17,329703.69,0
2015-10-29,7.05,7.15,7.01,7.08,179692.3,0
2015-10-28,7.15,7.32,7.0,7.06,345092.5,0
2015-10-27,6.9,7.33,6.71,7.27,393217.5,0
2015-10-26,6.93,7.0,6.85,6.98,232980.17,0
2015-10-23,6.8,6.83,6.65,6.82,242447.27,0
2015-10-22,6.5,6.73,6.45,6.71,173441.88,0
2015-10-21,7.07,7.13,6.38,6.5,309531.31,0
2015-10-20,7.01,7.08,6.9,7.07,210547.62,0
2015-10-19,7.13,7.15,6.9,6.98,251366.52,0
2015-10-16,7.12,7.15,6.89,7.12,309499.75,0
2015-10-15,6.65,7.07,6.65,7.05,241746.73,0
2015-10-14,6.9,6.95,6.69,6.7,177684.19,0
2015-10-13,6.75,6.92,6.75,6.91,186488.12,0
2015-10-12,6.56,6.95,6.52,6.83,237549.55,0
2015-10-09,6.48,6.6,6.42,6.54,161722.86,0
2015-10-08,6.46,6.54,6.37,6.5,169744.66,0
2015-09-30,6.31,6.35,6.22,6.28,62621.73,0
2015-09-29,6.22,6.38,6.18,6.25,99723.32,0
2015-09-28,6.35,6.38,6.12,6.32,79492.66,0
2015-09-25,6.43,6.53,6.23,6.29,160108.19,0
2015-09-24,6.25,6.45,6.25,6.43,149641.66,0
2015-09-23,6.32,6.4,6.18,6.21,148205.61,0
2015-09-22,6.45,6.5,6.3,6.42,195397.33,0
2015-09-21,6.22,6.43,6.15,6.43,151574.98,0
2015-09-18,6.25,6.28,6.1,6.23,128119.18,0
2015-09-17,6.3,6.6,6.1,6.12,260540.66,0
2015-09-16,5.95,6.35,5.78,6.33,211748.47,0
2015-09-15,6.2,6.34,5.74,5.77,195005.77,0
2015-09-14,7.11,7.2,6.31,6.31,245445.91,0
2015-09-11,6.96,7.11,6.86,7.01,135941.38,0
2015-09-10,7.07,7.19,6.96,6.98,177878.94,0
2015-09-09,7.03,7.25,6.92,7.23,272633.81,0
2015-09-08,6.55,6.95,6.41,6.9,172152.84,0
2015-09-07,6.52,6.87,6.46,6.51,186692.59,0
2015-09-02,6.48,6.99,6.25,6.38,252310.09,0
2015-09-01,7.27,7.35,6.71,6.79,272523.78,0
2015-08-31,7.66,7.66,7.18,7.21,278038.22,0
2015-08-28,7.2,7.67,7.08,7.66,351451.25,0
2015-08-27,6.7,7.3,6.45,7.09,321990.97,0
2015-08-26,7.45,7.68,6.65,6.66,418427.78,0
2015-08-25,7.39,7.59,7.39,7.39,234499.62,0
2015-08-24,8.56,8.78,8.21,8.21,292297.88,0
2015-08-21,9.09,9.71,8.71,9.13,412546.16,0
2015-08-20,9.95,10.06,9.27,9.32,427312.0,0
2015-08-19,9.1,10.3,8.76,10.15,649548.56,0
2015-08-18,10.81,10.9,9.71,9.71,832490.5,0
2015-08-17,10.26,11.32,10.16,10.81,823211.56,0
2015-08-14,10.29,10.54,10.06,10.3,829503.19,0
2015-08-13,9.25,10.25,9.17,10.25,880613.25,0
2015-08-12,9.06,9.4,8.96,9.33,552202.19,0
2015-08-11,9.27,9.54,9.09,9.21,606976.38,0
2015-08-10,8.9,9.27,8.71,9.19,508811.56,0
2015-08-07,8.52,8.7,8.45,8.65,295715.31,0
2015-08-06,8.3,8.56,8.19,8.38,235344.98,0
2015-08-05,8.76,8.98,8.42,8.55,446005.38,0
2015-08-04,8.12,8.8,7.91,8.78,358268.09,0
2015-08-03,8.3,8.5,7.77,8.02,326320.25,0
2015-07-31,8.7,8.99,8.15,8.5,387842.59,0
2015-07-30,9.22,9.57,8.77,8.89,706428.06,0
2015-07-29,8.37,9.12,8.23,9.12,534121.25,0
2015-07-28,7.61,8.3,7.31,8.28,544026.0,0
2015-07-27,8.68,9.2,8.07,8.07,571806.75,0
2015-07-24,9.37,9.65,8.8,8.97,642743.19,0
2015-07-23,9.01,9.4,8.9,9.29,609120.31,0
2015-07-22,8.72,9.3,8.35,9.08,614248.62,0
2015-07-21,8.3,8.74,8.2,8.61,400249.03,0
2015-07-20,8.39,8.78,8.2,8.48,403762.81,0
2015-07-17,7.86,8.55,7.86,8.4,368653.66,0
2015-07-16,7.2,8.26,7.1,7.88,385674.62,0
2015-07-15,8.49,8.6,7.85,7.85,414203.16,0
2015-07-14,9.02,9.65,8.66,8.82,799789.81,0
2015-07-13,8.49,9.02,8.2,9.02,765034.81,0
2015-07-10,7.67,8.2,7.67,8.2,561117.31,0
2015-07-09,6.09,7.45,6.09,7.45,806582.62,0
2015-07-08,6.77,6.77,6.77,6.77,20029.0,0
2015-07-07,7.72,7.75,7.52,7.52,140267.0,0
2015-07-06,10.13,10.13,8.35,8.35,561616.94,0
2015-07-03,9.28,10.03,9.28,9.28,347368.84,0
2015-07-02,11.01,11.24,10.31,10.31,442069.41,0
2015-07-01,12.45,12.72,11.46,11.46,723937.69,0
2015-06-30,12.05,12.86,11.1,12.74,798924.06,0
2015-06-29,12.82,12.99,11.05,12.23,853974.19,0
2015-06-26,13.02,13.27,12.27,12.27,675733.5,0
2015-06-25,13.46,14.37,13.12,13.62,1244907.12,0
2015-06-24,12.75,13.6,12.75,13.44,936172.69,0
2015-06-23,11.8,12.6,10.71,12.55,559213.0,0
2015-06-19,12.4,12.9,11.64,11.77,530647.25,0
2015-06-18,13.3,13.98,12.8,12.94,786436.06,0
2015-06-17,12.05,13.51,11.57,13.33,854537.75,0
2015-06-16,13.11,13.11,12.15,12.33,893746.56,0
2015-06-15,13.01,13.72,12.7,13.47,1560836.0,0
2015-06-12,11.36,12.5,11.26,12.47,961802.81,0
2015-06-11,11.1,11.45,10.95,11.36,507859.97,0
2015-06-10,10.9,11.38,10.78,11.15,478387.69,0
2015-06-09,11.35,11.35,10.82,11.08,556002.12,0
2015-06-08,11.2,11.56,11.0,11.4,748799.69,0
2015-06-05,10.98,11.35,10.74,11.2,767590.0,0
2015-06-04,10.95,11.04,9.96,10.89,683923.62,0
2015-06-03,10.38,11.44,10.12,11.07,1163404.5,0
2015-06-02,9.88,10.48,9.81,10.4,662122.56,0
2015-06-01,9.32,9.9,9.32,9.86,466847.59,0
2015-05-29,9.1,9.5,8.72,9.28,583069.38,0
2015-05-28,10.05,10.43,9.12,9.21,710490.69,0
2015-05-27,10.16,10.45,9.91,10.07,673171.12,0
2015-05-26,9.53,10.48,9.26,10.35,1099843.75,0
2015-05-25,9.17,9.66,9.03,9.53,766915.44,0
2015-05-22,8.91,9.34,8.7,9.17,672245.56,0
2015-05-21,8.49,8.85,8.46,8.83,445983.53,0
2015-05-20,8.5,8.75,8.45,8.51,413635.75,0
2015-05-19,8.14,8.57,8.11,8.53,311788.38,0
2015-05-18,8.05,8.25,7.96,8.14,197541.02,0
2015-05-15,8.47,8.48,8.08,8.15,298764.62,0
2015-05-14,8.45,8.55,8.35,8.49,291857.44,0
2015-05-13,8.4,8.52,8.23,8.44,360354.03,0
2015-05-12,8.35,8.48,8.15,8.39,394337.41,0
2015-05-11,8.0,8.33,7.97,8.31,270759.12,0
2015-05-08,7.73,7.98,7.72,7.94,268802.09,0
2015-05-07,8.13,8.17,7.61,7.65,346970.69,0
2015-05-06,8.5,8.63,8.0,8.13,424638.75,0
2015-05-05,9.29,9.43,8.47,8.58,732189.94,0
2015-05-04,8.77,9.23,8.7,9.22,909469.25,0
2015-04-30,8.6,8.89,8.51,8.7,619845.06,0
2015-04-29,8.35,8.68,8.27,8.51,307432.25,0
2015-04-28,8.8,8.82,8.33,8.45,442625.81,0
2015-04-27,8.8,9.05,8.76,8.84,435677.97,0
2015-04-24,8.75,8.83,8.6,8.74,397167.34,0
2015-04-23,9.1,9.15,8.78,8.87,546287.19,0
2015-04-22,8.89,9.13,8.89,9.06,586488.81,0
2015-04-21,8.68,8.84,8.61,8.84,376261.56,0
2015-04-20,8.89,9.07,8.72,8.73,762904.31,0
2015-04-17,8.8,9.33,8.56,9.11,1062899.88,0
2015-04-16,8.16,8.63,8.03,8.62,569638.69,0
2015-04-15,8.61,8.61,8.07,8.16,401684.56,0
2015-04-14,8.24,8.78,8.06,8.59,692451.06,0
2015-04-13,8.0,8.34,7.9,8.23,431102.28,0
2015-04-10,7.8,7.98,7.73,7.95,313114.91,0
2015-04-09,8.17,8.18,7.66,7.86,450838.44,0
2015-04-08,8.46,8.56,8.09,8.22,447119.19,0
2015-04-07,8.25,8.5,8.25,8.45,357829.66,0
2015-04-03,8.05,8.4,7.96,8.25,413990.03,0
2015-04-02,7.93,8.05,7.88,8.05,411249.34,0
2015-04-01,7.85,8.07,7.77,8.0,299871.41,0
2015-03-31,8.05,8.3,7.8,7.85,469534.72,0
2015-03-30,7.72,8.1,7.72,8.02,568262.69,0
2015-03-27,7.55,7.72,7.36,7.68,377786.31,0
2015-03-26,7.34,7.58,7.24,7.48,313757.41,0
2015-03-25,7.4,7.42,7.24,7.36,302812.41,0
2015-03-24,7.66,7.71,7.14,7.43,485962.97,0
2015-03-23,7.53,7.85,7.53,7.65,457002.53,0
2015-03-20,7.46,7.58,7.42,7.48,327694.97,0
2015-03-19,7.4,7.6,7.27,7.45,526183.19,0
2015-03-18,7.04,7.5,7.0,7.46,639878.69,0
2015-03-17,7.02,7.08,6.92,7.04,450682.16,0
2015-03-16,6.71,7.04,6.65,7.01,525254.81,0
2015-03-13,6.49,6.64,6.49,6.62,265888.16,0
2015-03-12,6.46,6.5,6.4,6.48,134414.2,0
2015-03-11,6.5,6.58,6.4,6.43,159562.61,0
2015-03-10,6.41,6.54,6.41,6.5,154944.25,0
2015-03-09,6.34,6.45,6.26,6.44,148444.31,0
2015-03-06,6.53,6.53,6.35,6.37,197083.73,0
2015-03-05,6.62,6.63,6.49,6.53,187435.81,0
2015-03-04,6.45,6.69,6.45,6.62,296757.0,0
2015-03-03,6.4,6.5,6.35,6.45,229406.53,0
2015-03-02,6.43,6.46,6.3,6.44,210035.06,0
2015-02-27,6.34,6.45,6.3,6.38,177788.31,0
2015-02-26,6.17,6.35,6.13,6.29,136601.09,0
2015-02-25,6.23,6.26,6.1,6.18,108351.9,0
2015-02-17,6.13,6.27,6.11,6.23,127249.86,0
2015-02-16,6.15,6.17,6.06,6.14,121057.04,0
2015-02-13,5.74,6.2,5.74,6.14,251844.34,0
2015-02-12,5.72,5.75,5.65,5.72,95980.92,0
2015-02-11,5.72,5.76,5.69,5.71,69893.08,0
2015-02-10,5.75,5.75,5.65,5.71,74712.15,0
2015-02-09,5.65,5.74,5.61,5.69,64233.76,0
2015-02-06,5.86,5.88,5.6,5.65,148908.09,0
2015-02-05,6.07,6.1,5.85,5.86,145564.03,0
2015-02-04,6.05,6.11,5.96,5.98,112109.44,0
2015-02-03,5.94,6.09,5.94,6.05,97954.51,0
2015-02-02,5.77,6.09,5.77,5.97,274055.62,0
2015-01-30,6.5,6.58,6.4,6.41,123889.85,0
2015-01-29,6.45,6.56,6.4,6.5,139966.56,0
2015-01-28,6.57,6.62,6.5,6.52,180041.09,0
2015-01-27,6.69,6.72,6.42,6.55,451415.88,0
2015-01-26,6.61,6.84,6.61,6.68,317911.16,0
2015-01-23,6.67,6.98,6.6,6.67,660016.31,0
2015-01-22,6.21,6.8,6.21,6.75,447153.0,0
2015-01-21,6.0,6.26,5.9,6.18,216316.78,0
2015-01-20,5.78,6.02,5.78,5.97,136792.31,0
2015-01-19,6.0,6.03,5.61,5.76,174844.7,0
2015-01-16,6.15,6.15,6.05,6.08,125476.18,0
2015-01-15,5.98,6.15,5.98,6.12,109991.77,0
2015-01-14,5.98,6.09,5.92,5.99,95501.06,0
2015-01-13,6.18,6.27,5.89,5.99,262868.0,0
2015-01-12,6.49,6.49,6.21,6.23,136793.23,0
2015-01-09,6.56,6.75,6.51,6.52,157873.09,0
2015-01-08,6.77,6.78,6.56,6.56,131471.45,0
2015-01-07,6.73,6.81,6.66,6.78,139776.64,0
2015-01-06,6.9,6.9,6.71,6.78,156903.45,0
2015-01-05,6.7,6.95,6.55,6.94,242594.38,0
