Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,42.43,43.3,42.18,42.29,7437.66,0
2015-12-30,42.2,43.15,42.1,42.5,9460.36,0
2015-12-29,43.2,43.33,42.31,42.39,8192.16,0
2015-12-28,44.19,44.2,42.0,42.15,10089.0,0
2015-12-25,43.2,44.0,42.7,43.92,6580.97,0
2015-12-24,44.1,44.45,42.8,43.2,8068.27,0
2015-12-23,44.11,44.39,43.41,44.19,14644.34,0
2015-12-22,45.26,45.49,43.21,44.12,17627.97,0
2015-12-21,45.98,46.48,45.0,45.24,17766.19,0
2015-12-18,44.7,46.26,44.65,45.91,24691.91,0
2015-12-17,43.98,45.45,43.58,45.4,25749.81,0
2015-12-16,44.76,45.26,43.37,43.78,25651.93,0
2015-12-15,44.76,47.25,44.03,45.11,19484.87,0
2015-12-14,45.01,45.95,43.39,44.78,14437.65,0
2015-12-11,44.5,45.14,42.8,44.26,8507.3,0
2015-12-10,46.46,47.34,44.62,44.62,13819.0,0
2015-12-09,45.01,47.73,44.38,47.0,14977.94,0
2015-12-08,47.81,48.99,45.18,45.54,26249.26,0
2015-12-07,43.8,47.71,43.8,47.71,57055.03,0
2015-12-04,43.36,44.85,42.77,43.36,11051.58,0
2015-12-03,41.0,43.6,40.59,43.39,12551.5,0
2015-12-02,41.68,42.8,38.0,40.97,12244.84,0
2015-12-01,43.37,43.89,41.06,41.69,14479.12,0
2015-11-30,43.51,44.75,40.5,42.96,26079.22,0
2015-11-27,48.4,49.5,43.37,43.42,26995.2,0
2015-11-26,45.5,49.29,45.3,48.2,27098.0,0
2015-11-25,45.96,45.97,45.02,45.48,11022.44,0
2015-11-24,46.31,46.86,44.61,45.1,16128.69,0
2015-11-23,46.0,47.5,45.52,46.36,19991.75,0
2015-11-20,47.23,47.88,45.5,46.97,35582.43,0
2015-11-19,43.82,47.98,43.82,47.22,41130.97,0
2015-11-18,44.1,45.44,43.5,44.16,28773.74,0
2015-11-17,41.87,45.8,41.6,45.02,65241.68,0
2015-11-16,38.89,42.13,36.81,42.05,65730.63,0
2015-11-13,38.52,40.0,38.05,39.22,27400.24,0
2015-11-12,39.11,39.3,38.3,38.86,18128.53,0
2015-11-11,38.8,39.45,38.6,39.2,15654.81,0
2015-11-10,39.01,39.24,38.48,38.9,18860.41,0
2015-11-09,38.1,39.82,38.02,39.29,28540.4,0
2015-11-06,37.31,38.6,37.0,38.58,19831.02,0
2015-11-05,37.96,38.39,36.7,37.27,17740.83,0
2015-11-04,37.3,38.0,36.55,37.9,12377.67,0
2015-11-03,36.5,37.5,35.7,36.89,11893.85,0
2015-11-02,35.3,37.35,35.0,36.14,11637.24,0
