Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,19.35,19.35,18.31,18.31,32717.49,0
2015-12-30,19.04,19.43,18.7,19.17,42685.23,0
2015-12-29,18.39,19.05,18.39,19.05,50553.51,0
2015-12-28,18.56,19.85,18.54,18.59,70489.56,0
2015-12-25,17.81,18.54,17.7,18.52,32825.01,0
2015-12-24,18.11,18.18,17.21,17.81,30647.26,0
2015-12-23,18.37,18.51,18.06,18.13,32362.01,0
2015-12-22,18.51,18.51,18.03,18.37,37335.48,0
2015-12-21,17.99,18.71,17.93,18.51,56670.39,0
2015-12-18,17.98,18.15,17.58,18.0,43126.5,0
2015-12-17,17.5,18.18,17.5,18.03,46827.6,0
2015-12-16,17.39,17.75,17.39,17.49,26645.65,0
2015-12-15,17.0,17.58,17.0,17.46,42653.07,0
2015-12-14,16.32,17.2,16.3,17.18,24942.05,0
2015-12-11,17.17,17.4,16.39,16.69,37723.45,0
2015-12-10,17.5,17.76,17.13,17.26,26167.81,0
2015-12-09,18.18,18.45,17.38,17.53,33225.84,0
2015-12-08,17.88,18.6,17.46,18.11,57055.83,0
2015-12-07,17.44,18.3,17.03,18.1,53984.83,0
2015-12-04,17.08,17.35,16.86,17.2,31073.3,0
2015-12-03,16.5,17.15,16.5,17.11,26196.72,0
2015-12-02,17.15,17.2,16.01,16.48,31476.73,0
2015-12-01,16.7,17.48,16.66,17.16,39826.95,0
2015-11-30,16.81,17.63,15.63,16.85,48113.17,0
2015-11-27,18.66,18.68,16.94,17.17,70054.16,0
2015-11-26,20.75,20.77,18.8,18.82,87999.4,0
2015-11-25,18.87,19.44,18.66,19.3,57595.52,0
2015-11-24,18.65,19.09,18.22,19.05,52875.14,0
2015-11-23,19.43,20.35,18.58,18.66,104617.07,0
2015-11-20,18.03,19.7,17.86,19.46,122724.1,0
2015-11-19,17.22,18.13,17.07,18.04,77280.73,0
2015-11-18,16.89,17.48,16.71,17.23,67807.1,0
2015-11-17,17.51,17.78,16.7,16.88,86180.21,0
2015-11-16,16.58,17.58,16.5,17.51,57745.4,0
2015-11-13,17.8,18.34,17.01,17.1,75699.87,0
2015-11-12,17.6,18.29,17.04,18.04,93410.02,0
2015-11-11,17.31,17.84,17.1,17.69,72563.22,0
2015-11-10,16.88,17.33,16.7,17.3,69500.28,0
2015-11-09,16.5,17.24,16.16,16.97,76988.19,0
2015-11-06,16.03,16.94,16.03,16.75,49863.07,0
2015-11-05,16.53,17.3,16.12,16.13,69998.09,0
2015-11-04,15.68,16.66,15.68,16.6,58066.77,0
2015-11-03,15.49,15.93,15.28,15.79,33459.42,0
2015-11-02,15.7,16.41,15.15,15.24,46438.52,0
2015-10-30,16.58,16.85,16.11,16.36,32632.22,0
2015-10-29,17.26,17.28,16.11,16.55,41924.04,0
2015-10-28,17.52,17.72,16.66,16.83,65592.4,0
2015-10-27,18.01,18.35,16.98,17.97,117113.11,0
2015-10-26,17.12,18.87,16.0,18.87,146127.73,0
2015-10-23,17.45,17.65,16.49,17.15,78648.45,0
2015-10-22,15.77,17.48,15.7,17.36,84620.62,0
2015-10-21,16.13,17.2,15.5,15.91,65700.06,0
2015-10-20,15.3,16.33,15.28,16.14,30091.91,0
2015-10-19,15.48,15.65,14.92,15.28,14251.64,0
2015-10-16,15.76,15.83,15.16,15.43,23514.13,0
2015-10-15,14.97,15.56,14.75,15.51,20217.33,0
2015-10-14,15.51,15.66,14.7,14.98,22824.62,0
2015-10-13,15.65,15.89,15.38,15.61,23829.66,0
2015-10-12,15.3,16.23,15.15,15.89,25621.54,0
2015-10-09,14.98,15.39,14.83,15.3,17828.12,0
2015-10-08,14.76,15.31,14.71,14.93,25906.99,0
