Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,31.29,31.55,30.5,30.53,45728.55,0
2015-12-30,31.68,31.7,31.01,31.37,44377.39,0
2015-12-29,31.05,31.52,30.38,31.5,43708.51,0
2015-12-28,32.86,32.97,30.8,30.94,94694.25,0
2015-12-25,33.16,33.55,32.43,32.79,73366.12,0
2015-12-24,32.1,33.42,32.02,33.14,109399.3,0
2015-12-23,31.91,33.33,31.63,32.1,109953.26,0
2015-12-22,31.41,31.86,31.21,31.78,58868.0,0
2015-12-21,30.8,31.87,30.71,31.59,71806.34,0
2015-12-18,31.68,31.68,30.8,31.02,63827.57,0
2015-12-17,31.09,31.71,31.03,31.69,79163.32,0
2015-12-16,30.36,31.24,30.3,30.73,50751.76,0
2015-12-15,30.12,30.68,30.0,30.23,39797.18,0
2015-12-14,29.2,30.34,28.91,30.29,42367.86,0
2015-12-11,30.03,30.45,29.54,29.66,55229.97,0
2015-12-10,31.55,31.8,30.42,30.55,60260.88,0
2015-12-09,30.85,31.7,30.55,30.97,56290.16,0
2015-12-08,31.45,31.45,30.5,30.78,56270.17,0
2015-12-07,31.5,31.7,31.05,31.46,48870.23,0
2015-12-04,31.55,32.1,31.05,31.4,74129.06,0
2015-12-03,30.4,31.92,30.4,31.7,75814.02,0
2015-12-02,31.01,31.25,29.06,30.3,61900.82,0
2015-12-01,31.4,32.16,30.84,31.19,89374.72,0
2015-11-30,30.56,31.57,28.85,31.47,96684.97,0
2015-11-27,32.67,32.97,29.95,30.49,108408.05,0
2015-11-26,33.43,34.75,32.93,33.08,109594.08,0
2015-11-25,33.6,33.89,33.0,33.31,106414.69,0
2015-11-24,31.8,33.6,31.71,33.58,124685.88,0
2015-11-23,31.71,33.29,31.41,32.08,100946.84,0
2015-11-20,31.63,32.35,30.9,31.73,92140.11,0
2015-11-19,30.45,31.6,30.45,31.56,79082.84,0
2015-11-18,31.45,32.36,30.41,30.54,96602.18,0
2015-11-17,33.38,33.58,31.69,31.73,130628.84,0
2015-11-16,32.0,33.1,31.16,32.9,109329.21,0
2015-11-13,34.59,34.7,32.0,32.09,191530.17,0
2015-11-12,33.3,35.99,32.51,35.25,216228.27,0
2015-11-11,31.16,33.54,30.62,32.94,175486.83,0
2015-11-10,31.9,31.9,30.5,31.28,159253.77,0
2015-11-09,30.71,33.0,30.66,32.03,191377.22,0
2015-11-06,29.9,31.24,29.9,30.93,169135.72,0
2015-11-05,30.24,31.78,29.51,30.08,206275.84,0
2015-11-04,29.93,30.95,28.8,30.4,274354.34,0
2015-11-03,27.51,29.99,27.5,29.99,285247.91,0
2015-11-02,25.93,28.29,25.6,27.27,157148.78,0
2015-10-30,26.45,26.96,26.06,26.53,89455.7,0
2015-10-29,26.6,26.85,26.0,26.5,79463.68,0
2015-10-28,26.55,27.24,26.26,26.48,93936.23,0
2015-10-27,26.68,26.68,25.4,26.59,93046.78,0
2015-10-26,26.95,27.38,26.19,26.71,106045.07,0
2015-10-23,25.6,26.5,25.29,26.27,103184.7,0
2015-10-22,24.9,25.69,24.42,25.55,108724.61,0
2015-10-21,27.57,27.78,24.83,24.83,152972.39,0
2015-10-20,27.14,28.06,26.8,27.59,119080.89,0
2015-10-19,27.82,27.91,26.81,27.11,109276.49,0
2015-10-16,27.8,27.98,27.02,27.67,149963.95,0
2015-10-15,26.18,28.52,26.0,27.93,160326.59,0
2015-10-14,26.47,27.2,25.9,25.96,107577.07,0
2015-10-13,26.31,26.72,26.02,26.46,96547.74,0
2015-10-12,25.55,27.35,25.44,26.73,136711.38,0
2015-10-09,24.84,25.48,24.55,25.24,86104.44,0
2015-10-08,24.9,25.39,24.31,24.92,81921.48,0
2015-09-30,24.0,24.16,23.6,23.9,41135.61,0
2015-09-29,24.1,24.23,23.48,23.69,56075.46,0
2015-09-28,23.95,24.79,23.75,24.65,65414.99,0
2015-09-25,25.23,25.46,23.5,23.74,93937.91,0
2015-09-24,25.58,25.82,24.84,25.5,110164.09,0
2015-09-23,24.3,26.34,24.06,25.39,161739.45,0
2015-09-22,25.0,25.22,24.31,24.79,111753.07,0
2015-09-21,23.3,24.9,23.02,24.79,109483.49,0
2015-09-18,24.1,24.36,23.21,23.79,80948.91,0
2015-09-17,24.92,25.27,23.61,23.81,152723.56,0
2015-09-16,23.05,24.85,22.88,24.85,129705.8,0
2015-09-15,22.27,23.89,22.18,22.62,118147.31,0
2015-09-14,25.69,25.99,23.2,23.2,100559.23,0
2015-09-11,25.2,26.19,25.2,25.77,85541.01,0
2015-09-10,26.3,26.8,25.3,25.45,142164.55,0
2015-09-09,26.75,27.53,26.33,27.35,209669.67,0
2015-09-08,24.18,26.33,23.6,26.33,179495.19,0
2015-09-07,24.48,25.0,23.5,23.99,117477.12,0
2015-09-02,22.3,25.33,22.09,23.45,152382.91,0
2015-09-01,25.5,25.65,23.68,23.68,147498.08,0
2015-08-31,28.21,28.59,26.31,26.31,136011.39,0
2015-08-28,28.09,30.31,27.12,29.2,252764.67,0
2015-08-27,28.2,29.48,25.5,28.6,266771.5,0
2015-08-26,26.2,27.64,25.2,27.64,312908.22,0
2015-08-25,23.7,28.84,23.7,25.1,230798.25,0
2015-08-24,27.83,27.83,26.33,26.33,111197.69,0
2015-08-21,31.0,32.0,29.0,29.24,119460.63,0
2015-08-20,34.9,35.15,32.01,32.2,128443.79,0
2015-08-19,33.73,36.0,31.88,35.58,166590.73,0
2015-08-18,37.11,39.18,33.66,34.82,181984.5,0
2015-08-17,38.05,38.48,36.82,37.07,127424.56,0
2015-08-14,38.82,39.79,37.62,38.8,166780.09,0
2015-08-13,37.5,38.89,36.58,38.59,153759.42,0
2015-08-12,40.3,41.47,38.0,38.25,209017.27,0
2015-08-11,40.2,43.0,40.05,41.23,231069.44,0
2015-08-10,38.79,41.0,38.45,40.75,238100.53,0
2015-08-07,38.42,40.46,37.2,39.06,233047.06,0
2015-08-06,39.79,41.0,37.01,38.3,245562.48,0
2015-08-05,37.2,42.77,37.2,40.95,342171.06,0
2015-08-04,44.5,45.04,39.3,39.3,444242.03,0
2015-08-03,39.4,43.67,38.6,43.67,423997.5,0
2015-07-31,35.98,39.7,35.01,39.7,446146.69,0
2015-07-30,36.0,37.02,35.02,36.0,240783.8,0
2015-07-29,31.22,33.65,30.29,33.65,247863.19,0
2015-07-28,28.3,32.5,27.23,30.7,235704.23,0
2015-07-27,31.48,35.19,30.12,30.25,288897.66,0
2015-07-24,34.0,35.59,32.0,33.25,354872.28,0
2015-07-23,29.6,32.44,29.6,32.44,190963.81,0
2015-07-22,30.52,30.88,28.9,29.49,158987.66,0
2015-07-21,28.94,30.94,28.27,30.52,175355.45,0
2015-07-20,31.61,32.0,28.78,29.99,214348.22,0
2015-07-17,30.08,32.27,29.71,31.64,210827.19,0
2015-07-16,28.81,33.33,28.81,29.81,263195.19,0
2015-07-15,37.01,37.35,32.01,32.01,284615.31,0
2015-07-14,34.88,35.57,33.3,35.57,160610.39,0
2015-07-13,32.34,32.34,30.87,32.34,187538.75,0
2015-07-10,29.4,29.4,27.8,29.4,95637.63,0
