date,open,close,volume
2015-12-31,12.04,11.62,326863.91
2015-12-30,11.46,11.98,358351.53
2015-12-29,11.17,11.46,184884.31
2015-12-28,11.98,11.34,409884.53
2015-12-25,11.58,11.87,418804.97
2015-12-24,11.11,11.64,288306.66
2015-12-23,11.68,11.24,322371.62
2015-12-22,11.43,11.7,348253.59
2015-12-21,11.42,11.49,351642.25
2015-12-18,11.79,11.48,548314.38
2015-12-17,11.7,11.9,648129.75
2015-12-16,11.56,11.64,653838.94
2015-12-15,11.0,11.95,988027.06
2015-12-14,10.9,11.16,677471.69
2015-12-11,10.1,10.76,329461.84
2015-12-10,9.6,9.78,167372.02
2015-12-09,9.4,9.6,133328.38
2015-12-08,10.0,9.48,198605.2
2015-12-07,10.0,10.0,143218.38
2015-12-04,9.9,9.96,211434.56
2015-12-03,9.62,9.94,205989.81
2015-12-02,9.67,9.51,138574.94
2015-12-01,9.56,9.63,172321.06
2015-11-30,9.46,9.54,265155.72
2015-11-27,10.3,9.48,321500.5
2015-11-26,10.99,10.51,333212.03
2015-11-25,10.78,10.99,371571.09
2015-11-24,10.23,10.91,435310.56
2015-11-23,10.3,10.21,215533.69
2015-11-20,10.25,10.26,270172.88
2015-11-19,10.06,10.3,265341.5
2015-11-18,10.55,10.06,396877.53
2015-11-17,11.38,10.74,579542.62
2015-11-16,11.0,11.28,452064.47
2015-11-13,10.8,11.3,704729.25
2015-11-12,10.81,11.04,626639.69
2015-11-11,10.6,10.93,606571.69
2015-11-10,10.3,10.69,580967.62
2015-11-09,10.41,10.66,827195.31
2015-11-06,11.7,10.95,1160961.12
2015-11-05,10.81,10.81,411932.31
2015-11-04,9.83,9.83,95874.14
2015-11-03,8.94,8.94,34081.61
2015-11-02,8.13,8.13,8281.05
2015-10-30,7.39,7.39,3647.93
2015-08-31,6.98,6.72,125775.47
2015-08-28,6.72,7.1,190126.98
2015-08-27,6.3,6.54,149394.59
2015-08-26,6.3,6.13,234951.27
2015-08-25,6.28,6.17,156854.23
2015-08-24,7.26,6.85,196582.05
2015-08-21,7.95,7.61,151551.12
2015-08-20,8.33,8.18,159586.17
2015-08-19,7.9,8.44,225147.12
2015-08-18,9.22,8.29,298331.97
2015-08-17,9.32,9.21,337676.0
2015-08-14,8.93,9.29,446680.19
2015-08-13,8.59,8.93,238849.83
2015-08-12,8.8,8.67,292114.0
2015-08-11,8.52,9.1,474530.53
2015-08-10,8.5,8.67,315933.88
2015-08-07,8.1,8.32,279457.22
2015-08-06,7.62,8.17,273296.84
2015-08-05,7.75,7.91,234805.81
2015-08-04,7.2,7.71,148075.23
2015-08-03,7.27,7.08,122180.69
2015-07-31,7.46,7.4,130394.57
2015-07-30,7.82,7.62,176450.34
2015-07-29,7.43,7.82,170433.23
2015-07-28,7.1,7.26,253016.31
2015-07-27,8.55,7.8,274927.72
2015-07-24,9.0,8.67,380888.94
2015-07-23,8.6,8.85,316298.53
2015-07-22,8.3,8.5,248172.7
2015-07-21,8.11,8.4,221690.41
2015-07-20,8.3,8.31,274278.19
2015-07-17,7.87,8.3,237803.3
2015-07-16,7.54,7.81,259211.59
2015-07-15,8.0,7.54,293990.62
2015-07-14,8.4,8.38,526707.62
2015-07-13,8.16,8.17,398561.22
2015-07-10,7.0,7.43,158707.16
2015-07-09,5.53,6.75,341632.28
2015-07-08,5.49,6.14,489939.97
2015-07-07,6.51,6.1,179861.27
