Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,32.55,32.88,31.74,31.78,34681.08,0
2015-12-30,32.97,33.0,32.39,32.79,31786.85,0
2015-12-29,32.45,32.98,32.1,32.97,36508.82,0
2015-12-28,33.5,34.46,32.37,32.45,70979.82,0
2015-12-25,33.15,33.65,32.81,33.19,42322.79,0
2015-12-24,32.65,33.29,32.3,33.2,46070.74,0
2015-12-23,33.05,33.88,32.61,32.77,60467.09,0
2015-12-22,32.69,33.26,32.21,33.0,41983.99,0
2015-12-21,32.02,33.49,32.01,32.98,52724.01,0
2015-12-18,32.71,32.78,32.01,32.21,39510.63,0
2015-12-17,31.82,32.94,31.79,32.94,56631.89,0
2015-12-16,31.17,32.28,31.15,31.72,41696.51,0
2015-12-15,31.48,31.48,30.9,31.15,26810.29,0
2015-12-14,30.18,31.36,29.88,31.28,27848.07,0
2015-12-11,30.43,30.65,30.1,30.49,26508.44,0
2015-12-10,30.9,31.25,30.38,30.57,31444.9,0
2015-12-09,31.06,31.74,30.71,30.95,31708.33,0
2015-12-08,32.2,32.2,31.0,31.04,39934.78,0
2015-12-07,31.97,32.28,31.6,32.06,32246.77,0
2015-12-04,32.0,32.4,31.41,31.88,44642.12,0
2015-12-03,30.82,32.09,30.65,32.08,51348.35,0
2015-12-02,31.0,31.17,29.15,30.64,40722.19,0
2015-12-01,31.3,32.1,30.7,31.19,49168.77,0
2015-11-30,30.9,31.77,29.11,31.48,65885.0,0
2015-11-27,33.63,33.63,30.66,30.99,73247.47,0
2015-11-26,34.24,35.18,33.81,34.0,70316.58,0
2015-11-25,34.43,34.6,33.69,34.35,70626.94,0
2015-11-24,33.09,34.77,33.0,34.62,81278.81,0
2015-11-23,32.71,34.16,32.66,33.19,69079.37,0
2015-11-20,32.88,33.22,32.5,32.94,58696.95,0
2015-11-19,31.85,32.9,31.85,32.89,48494.54,0
2015-11-18,32.8,32.95,31.58,31.77,51945.16,0
2015-11-17,33.66,34.24,32.39,32.43,75367.69,0
2015-11-16,32.0,33.48,31.66,33.3,74803.66,0
2015-11-13,35.9,35.96,33.0,33.23,137308.53,0
2015-11-12,34.3,36.96,33.9,36.29,143276.27,0
2015-11-11,31.99,35.21,31.69,34.08,120340.81,0
2015-11-10,32.6,33.5,31.62,32.28,102519.99,0
2015-11-09,32.0,33.79,31.8,33.0,138367.7,0
2015-11-06,31.4,32.4,31.2,32.0,106789.01,0
2015-11-05,31.88,32.45,31.11,31.29,118642.13,0
2015-11-04,31.5,32.45,30.4,32.15,153447.36,0
2015-11-03,29.9,31.5,29.82,31.4,119550.72,0
2015-11-02,28.4,30.9,28.03,29.88,98222.68,0
2015-10-30,29.1,30.48,29.0,29.48,86276.34,0
2015-10-29,29.1,29.5,28.8,29.17,51591.08,0
2015-10-28,28.82,30.27,28.61,28.94,78790.0,0
2015-10-27,29.15,29.32,27.9,29.06,67959.86,0
2015-10-26,29.45,29.99,28.81,29.41,71438.74,0
2015-10-23,28.54,29.29,28.32,29.07,83651.53,0
2015-10-22,27.81,28.88,27.09,28.6,82319.78,0
2015-10-21,31.1,31.1,27.81,27.81,114238.27,0
2015-10-20,30.59,31.28,30.26,30.92,85205.87,0
2015-10-19,30.5,31.57,30.08,30.76,103742.26,0
2015-10-16,32.3,32.63,30.15,30.88,152521.05,0
2015-10-15,27.9,30.87,27.79,30.87,88742.45,0
2015-10-14,28.44,29.47,28.04,28.07,72184.46,0
2015-10-13,28.89,28.99,28.19,28.71,75114.44,0
2015-10-12,27.1,29.66,27.02,29.08,104374.78,0
2015-10-09,26.84,27.24,26.5,27.0,58908.97,0
2015-10-08,26.9,27.48,26.3,26.9,66926.32,0
2015-09-30,25.62,26.0,25.36,25.85,36465.17,0
2015-09-29,25.7,25.97,25.12,25.39,39766.68,0
2015-09-28,25.75,26.43,25.66,26.31,38816.69,0
2015-09-25,27.2,27.21,25.3,25.7,64390.71,0
2015-09-24,27.17,27.6,26.81,27.3,65843.54,0
2015-09-23,26.47,28.18,26.26,27.16,91720.71,0
2015-09-22,27.33,27.54,26.5,26.99,73783.34,0
2015-09-21,25.9,27.35,25.75,27.2,74192.12,0
2015-09-18,26.49,26.79,25.6,26.25,62009.11,0
2015-09-17,27.69,28.05,26.0,26.17,114335.95,0
2015-09-16,25.82,27.93,25.6,27.93,108992.98,0
2015-09-15,24.86,26.49,24.4,25.4,83690.71,0
2015-09-14,28.43,28.63,25.61,25.61,82037.6,0
2015-09-11,28.12,28.9,27.72,28.45,61629.01,0
2015-09-10,29.5,29.58,28.0,28.09,102560.88,0
