Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,40.79,41.5,38.58,40.61,20861.14,0
2015-12-30,38.9,40.83,38.57,40.58,21840.79,0
2015-12-29,38.0,39.01,37.59,38.94,13756.73,0
2015-12-28,40.2,41.0,38.06,38.18,20735.61,0
2015-12-25,39.31,39.98,38.46,39.76,17212.89,0
2015-12-24,38.68,39.0,37.58,38.44,11793.77,0
2015-12-23,39.68,40.39,38.65,38.9,16990.6,0
2015-12-22,40.0,40.49,38.86,39.74,17078.26,0
2015-12-21,40.6,41.34,39.2,40.18,19496.33,0
2015-12-18,38.55,42.98,38.55,40.97,44300.07,0
2015-12-17,37.83,39.99,37.83,39.25,31519.76,0
2015-12-16,38.41,39.22,37.73,37.81,22462.51,0
2015-12-15,37.01,38.96,36.3,38.4,30420.68,0
2015-12-14,36.0,36.83,34.85,36.8,18891.74,0
2015-12-11,38.1,38.47,36.03,36.2,19420.16,0
2015-12-10,38.99,39.0,37.5,37.7,20075.33,0
2015-12-09,38.4,39.9,38.4,39.07,21781.01,0
2015-12-08,39.95,39.97,38.1,38.34,24218.46,0
2015-12-07,41.31,41.39,39.8,40.07,23647.76,0
2015-12-04,40.6,42.0,40.4,40.98,25433.94,0
2015-12-03,40.34,42.03,40.3,40.96,25653.09,0
2015-12-02,39.0,40.9,37.54,40.27,24082.06,0
2015-12-01,40.81,41.77,38.4,39.38,34887.55,0
2015-11-30,40.31,42.73,37.8,41.05,44472.23,0
2015-11-27,43.7,46.2,41.0,41.57,50928.13,0
2015-11-26,44.01,46.5,42.4,44.46,63992.84,0
2015-11-25,43.6,44.88,43.0,44.46,47425.63,0
2015-11-24,45.47,46.5,43.15,44.4,52221.54,0
2015-11-23,41.18,45.8,41.18,44.77,81418.89,0
2015-11-20,40.33,42.88,38.8,42.35,69658.21,0
2015-11-19,37.93,40.5,37.93,40.22,55258.9,0
2015-11-18,37.84,39.48,36.98,37.49,39411.56,0
2015-11-17,40.6,41.2,38.88,39.0,49396.05,0
2015-11-16,38.15,41.02,38.07,40.39,52808.04,0
2015-11-13,43.79,44.7,40.89,40.89,78349.07,0
2015-11-12,40.5,45.43,39.51,45.43,103118.76,0
2015-11-11,40.7,42.4,40.62,41.31,74511.89,0
2015-11-10,40.03,41.08,39.51,40.25,86848.48,0
2015-11-09,40.99,44.85,39.61,41.3,120279.89,0
2015-11-06,39.5,43.76,37.6,42.53,151310.3,0
2015-11-05,35.01,39.78,35.01,39.78,146793.55,0
2015-11-04,36.81,37.43,33.01,36.28,160132.53,0
2015-11-03,32.46,34.47,32.46,34.47,95540.94,0
2015-11-02,28.88,31.34,28.28,31.34,126612.46,0
2015-10-30,26.31,28.49,26.19,28.49,59735.36,0
2015-10-29,26.01,26.5,25.53,25.97,18515.17,0
2015-10-28,26.85,27.49,25.75,26.0,30276.35,0
2015-10-27,26.76,27.0,24.8,26.87,26865.58,0
2015-10-26,27.28,27.28,26.02,26.85,30151.48,0
2015-10-23,26.1,27.6,25.95,26.97,36060.09,0
2015-10-22,24.42,25.96,24.38,25.7,29357.65,0
2015-10-21,26.9,27.17,24.42,24.42,42146.38,0
2015-10-20,26.2,27.25,26.03,27.11,34941.06,0
2015-10-19,27.85,29.32,26.5,26.84,80682.83,0
2015-10-16,25.16,27.32,24.62,27.32,81683.21,0
2015-10-15,23.6,24.85,23.38,24.84,31089.18,0
2015-10-14,24.1,25.3,23.75,23.82,34882.34,0
