Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.22,10.25,9.93,9.94,42605.81,0
2015-12-30,10.05,10.29,9.92,10.22,53749.99,0
2015-12-29,9.91,10.13,9.77,10.12,63195.31,0
2015-12-28,10.2,10.5,10.0,10.05,105023.03,0
2015-12-25,9.85,10.15,9.76,10.15,48903.07,0
2015-12-24,9.82,9.89,9.61,9.79,42454.41,0
2015-12-23,10.1,10.15,9.84,9.84,73160.74,0
2015-12-22,9.9,10.13,9.86,10.13,65884.09,0
2015-12-21,9.77,9.9,9.71,9.9,46098.32,0
2015-12-18,9.89,10.0,9.65,9.76,54285.29,0
2015-12-17,9.58,9.93,9.58,9.87,57032.23,0
2015-12-16,9.5,9.62,9.4,9.58,42132.81,0
2015-12-15,9.4,9.54,9.33,9.5,35356.0,0
2015-12-14,9.2,9.41,9.08,9.41,32594.68,0
2015-12-11,9.29,9.29,9.0,9.12,36313.16,0
2015-12-10,9.27,9.4,9.1,9.3,31480.58,0
2015-12-09,9.11,9.4,9.11,9.28,35405.15,0
2015-12-08,9.63,9.63,9.19,9.25,53490.79,0
2015-12-07,9.65,9.69,9.45,9.61,41666.82,0
2015-12-04,9.74,9.8,9.58,9.63,45437.68,0
2015-12-03,9.58,9.8,9.54,9.74,41945.25,0
2015-12-02,9.6,9.73,9.02,9.53,52452.85,0
2015-12-01,9.45,10.12,9.45,9.73,84918.45,0
2015-11-30,9.75,9.89,8.93,9.55,94402.62,0
2015-11-27,10.4,10.75,9.51,9.75,91805.66,0
2015-11-26,10.76,11.0,10.54,10.55,89659.84,0
2015-11-25,10.56,11.07,10.45,10.9,145790.27,0
2015-11-24,10.23,10.45,10.11,10.4,57633.77,0
2015-11-23,10.6,10.63,10.2,10.3,88402.44,0
2015-11-20,10.49,10.79,10.3,10.55,134859.09,0
2015-11-19,10.15,10.54,10.05,10.49,105007.62,0
2015-11-18,9.88,10.39,9.8,10.1,134376.0,0
2015-11-17,10.22,10.27,9.85,9.9,138612.72,0
2015-11-16,9.55,10.28,9.4,10.2,145684.16,0
2015-11-13,9.52,9.89,9.44,9.76,109491.08,0
2015-11-12,9.51,9.76,9.43,9.64,103198.39,0
2015-11-11,9.42,9.54,9.4,9.5,75817.23,0
2015-11-10,9.5,9.6,9.41,9.49,84333.21,0
2015-11-09,9.4,9.79,9.3,9.63,115160.6,0
2015-11-06,9.45,9.49,9.34,9.46,142100.94,0
2015-11-05,9.14,9.41,9.05,9.34,130154.71,0
2015-11-04,8.84,9.14,8.76,9.12,90249.56,0
2015-11-03,8.79,8.86,8.66,8.76,33795.59,0
2015-11-02,8.76,9.03,8.5,8.77,53926.08,0
2015-10-30,9.0,9.15,8.77,8.98,62212.03,0
2015-10-29,9.01,9.16,8.93,8.99,65745.6,0
2015-10-28,9.35,9.58,8.95,8.98,108623.48,0
2015-10-27,9.0,9.34,8.7,9.32,109935.26,0
2015-10-26,9.15,9.22,8.92,9.12,85709.74,0
2015-10-23,8.7,9.0,8.7,8.99,84520.47,0
2015-10-22,8.4,8.68,8.35,8.67,67455.3,0
2015-10-21,9.2,9.25,8.33,8.4,131539.88,0
2015-10-20,8.95,9.25,8.91,9.25,112615.45,0
2015-10-19,9.15,9.19,8.84,8.96,108350.96,0
2015-10-16,9.15,9.23,8.95,9.15,121526.04,0
2015-10-15,8.71,9.2,8.71,9.15,101342.27,0
2015-10-14,9.11,9.11,8.8,8.8,99610.27,0
2015-10-13,9.04,9.23,8.91,9.11,118336.96,0
2015-10-12,8.73,9.28,8.73,9.11,188433.8,0
2015-10-09,8.48,8.68,8.28,8.5,129462.65,0
2015-10-08,8.46,8.68,8.31,8.48,145027.67,0
2015-10-07,8.63,8.79,8.45,8.47,2073.0,0
2015-09-30,8.63,8.79,8.25,8.27,154280.95,0
2015-09-29,8.2,8.81,8.11,8.8,246481.23,0
2015-09-28,7.56,8.27,7.5,8.27,159048.0,0
2015-09-25,7.58,7.8,7.47,7.52,72299.39,0
2015-09-24,7.51,7.61,7.46,7.61,39811.33,0
2015-09-23,7.5,7.58,7.36,7.46,44421.74,0
2015-09-22,7.69,7.79,7.55,7.69,64657.24,0
2015-09-21,7.38,7.68,7.31,7.68,53381.76,0
2015-09-18,7.51,7.66,7.3,7.47,62780.65,0
2015-09-17,7.83,7.95,7.51,7.53,84646.09,0
2015-09-16,7.09,7.94,7.09,7.83,90683.35,0
2015-09-15,7.39,7.95,7.1,7.24,91029.36,0
2015-09-14,8.1,8.16,7.28,7.29,73601.28,0
2015-09-11,8.02,8.15,7.85,8.09,48952.35,0
2015-09-10,8.22,8.29,8.0,8.01,62000.82,0
2015-09-09,8.2,8.33,8.05,8.27,116330.95,0
2015-09-08,7.5,8.05,7.45,8.05,73598.03,0
2015-09-07,7.69,7.83,7.48,7.59,58876.6,0
2015-09-02,7.21,7.96,7.11,7.36,65501.24,0
2015-09-01,8.38,8.38,7.54,7.54,88802.1,0
2015-08-31,8.43,8.72,8.25,8.38,122074.09,0
2015-08-28,7.89,8.28,7.8,8.25,101636.73,0
2015-08-27,7.55,7.87,7.23,7.72,71089.69,0
2015-08-26,7.8,8.2,7.08,7.4,121192.42,0
2015-08-25,7.75,7.95,7.74,7.74,89532.0,0
2015-08-24,9.05,9.31,8.6,8.6,44035.36,0
2015-08-21,9.7,10.14,9.5,9.56,69425.34,0
2015-08-20,10.26,10.4,9.8,9.86,74089.57,0
2015-08-19,9.9,10.6,9.45,10.43,122287.62,0
2015-08-18,11.39,11.73,10.26,10.26,147692.56,0
2015-08-17,11.4,11.46,11.11,11.4,78751.06,0
2015-08-14,11.7,11.75,11.4,11.46,97771.97,0
2015-08-13,11.53,11.68,11.14,11.68,143236.36,0
2015-08-12,11.8,12.0,11.45,11.5,136977.91,0
2015-08-11,12.4,12.52,11.93,12.08,225226.56,0
2015-08-10,11.6,12.29,11.51,12.14,220253.8,0
2015-08-07,11.4,11.75,11.3,11.58,140910.94,0
2015-08-06,11.3,11.91,11.02,11.37,165246.12,0
2015-08-05,11.62,12.12,11.37,11.59,263302.16,0
2015-08-04,11.19,11.69,10.51,11.56,239139.17,0
2015-08-03,10.95,11.25,10.7,11.12,146476.86,0
2015-07-31,10.38,11.13,10.08,10.78,117901.37,0
2015-07-30,11.0,11.35,10.64,10.67,208980.7,0
2015-07-29,9.79,10.38,9.3,10.37,79654.15,0
2015-07-28,9.47,10.6,9.02,9.69,121269.72,0
2015-07-27,10.73,10.98,10.02,10.02,132499.62,0
2015-07-24,11.18,11.56,11.0,11.13,182642.48,0
2015-07-23,11.12,11.5,10.98,11.37,152716.55,0
2015-07-22,11.59,11.59,10.96,11.31,214457.45,0
2015-07-21,11.04,11.56,10.51,11.34,177388.52,0
2015-07-20,10.4,11.21,10.15,11.18,170390.0,0
2015-07-17,10.25,10.65,9.94,10.4,111969.5,0
2015-07-16,9.68,10.28,8.8,9.93,131647.34,0
2015-07-15,10.45,10.45,9.68,9.68,140866.8,0
2015-07-14,11.0,11.82,10.66,10.76,250823.64,0
2015-07-13,10.62,11.29,10.3,11.29,255222.28,0
2015-07-10,9.9,10.26,9.5,10.26,158510.69,0
2015-07-09,8.3,9.33,8.07,9.33,186688.83,0
2015-07-08,7.28,8.8,7.28,8.48,365769.69,0
2015-07-07,7.68,8.25,7.25,8.09,235792.48,0
2015-07-06,7.88,7.88,7.06,7.83,258439.66,0
2015-07-03,7.9,8.1,7.16,7.16,141859.69,0
2015-07-02,8.56,9.06,7.96,7.96,119312.48,0
2015-07-01,9.52,9.88,8.8,8.84,133522.09,0
2015-06-30,8.51,9.67,8.11,9.56,178685.77,0
2015-06-29,10.31,10.39,9.01,9.01,155373.89,0
2015-06-26,10.6,10.96,10.01,10.01,108159.24,0
2015-06-25,11.73,11.94,10.9,11.12,117148.54,0
2015-06-24,11.6,11.96,11.32,11.73,120182.81,0
2015-06-23,11.9,12.38,11.08,11.47,148851.22,0
2015-06-19,12.88,13.2,12.31,12.31,120766.04,0
2015-06-18,13.6,14.18,13.3,13.68,181791.45,0
2015-06-17,13.47,13.64,12.55,13.6,152242.48,0
2015-06-16,14.25,14.35,13.11,13.4,215270.47,0
2015-06-15,14.23,14.75,13.95,14.4,339985.56,0
2015-06-12,14.0,14.29,13.78,14.08,223666.62,0
2015-06-11,14.19,14.19,13.83,14.02,173048.61,0
2015-06-10,13.92,14.29,13.61,14.19,182735.77,0
2015-06-09,14.21,14.39,13.4,13.91,156255.05,0
2015-06-08,14.63,14.99,14.16,14.2,329026.31,0
2015-06-05,13.95,14.45,13.5,14.08,280938.28,0
2015-06-04,14.2,14.29,12.85,13.9,223741.34,0
2015-06-03,14.7,14.71,13.9,14.19,311627.69,0
2015-06-02,13.84,14.78,13.78,14.68,479841.53,0
2015-06-01,12.3,13.44,12.22,13.44,249848.52,0
2015-05-29,12.78,12.89,11.69,12.22,258281.62,0
2015-05-28,27.95,28.8,25.38,26.07,167784.59,0
2015-05-27,28.51,29.39,27.0,28.2,197336.78,0
2015-05-26,27.21,28.85,27.21,28.3,232700.64,0
2015-05-25,24.77,26.38,24.03,26.38,224462.42,0
2015-05-22,23.5,23.98,23.42,23.98,199767.02,0
2015-05-21,20.59,21.8,20.5,21.8,132464.44,0
2015-05-20,21.2,21.58,20.53,20.69,158076.72,0
2015-05-19,20.1,21.38,20.1,21.1,151554.77,0
2015-05-18,19.18,20.02,18.9,19.96,87947.1,0
2015-05-15,19.3,19.6,19.0,19.14,46284.41,0
2015-05-14,19.3,19.68,19.19,19.45,55542.73,0
2015-05-13,18.95,19.5,18.6,19.37,62714.86,0
2015-05-12,18.95,19.25,18.7,18.95,47142.02,0
2015-05-11,18.2,18.87,18.19,18.83,44571.37,0
2015-05-08,17.39,17.95,17.31,17.89,41862.45,0
2015-05-07,17.79,18.19,17.01,17.1,43847.87,0
2015-05-06,18.39,18.81,17.7,17.83,37353.14,0
2015-05-05,19.02,19.15,18.28,18.4,37592.39,0
2015-05-04,18.88,19.17,18.82,19.01,28499.34,0
2015-04-30,18.96,19.45,18.92,18.92,38937.57,0
2015-04-29,18.8,19.15,18.53,18.95,50468.28,0
2015-04-28,19.85,19.85,18.75,18.9,79497.75,0
2015-04-27,20.75,21.0,19.79,19.94,113206.32,0
2015-04-24,19.51,20.79,19.0,20.71,119558.11,0
2015-04-23,19.7,19.83,19.44,19.6,59959.94,0
2015-04-22,19.86,19.88,19.41,19.69,93534.36,0
2015-04-21,18.45,19.39,18.41,19.39,52952.68,0
2015-04-20,18.89,19.13,18.33,18.45,58952.45,0
2015-04-17,18.9,19.48,18.8,18.89,54313.09,0
2015-04-16,18.4,19.2,17.89,18.78,53289.72,0
2015-04-15,20.06,20.1,18.7,18.83,91242.68,0
2015-04-14,20.8,21.5,20.18,20.21,104060.79,0
2015-04-13,19.46,20.86,19.19,20.52,126674.06,0
2015-04-10,18.79,19.65,18.65,19.46,83527.48,0
2015-04-09,19.55,19.68,18.35,18.88,96634.4,0
2015-04-08,20.02,20.02,18.8,19.51,123564.54,0
2015-04-07,19.8,20.48,19.4,20.18,138849.53,0
2015-04-03,18.44,20.0,18.21,19.75,139166.62,0
2015-04-02,17.91,18.86,17.82,18.65,133350.11,0
2015-04-01,17.3,18.18,17.25,17.91,110726.51,0
2015-03-31,17.39,17.58,17.1,17.38,79407.04,0
2015-03-30,17.3,18.28,17.11,17.54,128539.05,0
2015-03-27,17.1,17.36,16.71,17.09,75434.85,0
2015-03-26,17.5,18.0,16.58,16.96,159545.7,0
2015-03-25,16.7,18.5,16.5,17.88,227044.11,0
2015-03-24,16.2,17.35,16.2,17.25,320137.88,0
2015-03-23,15.65,15.8,15.1,15.8,199235.83,0
2015-03-20,14.36,14.36,14.36,14.36,41671.78,0
2015-03-19,12.87,13.05,12.79,13.05,48267.63,0
2015-03-18,12.82,13.15,12.75,12.9,66914.8,0
2015-03-17,12.65,13.24,12.53,12.83,87964.78,0
2015-03-16,12.28,12.73,12.0,12.67,90725.02,0
2015-03-13,11.69,12.09,11.6,12.07,55366.67,0
2015-03-12,11.59,11.72,11.26,11.67,43188.67,0
2015-03-11,11.75,11.88,11.56,11.6,30646.6,0
2015-03-10,11.8,11.89,11.72,11.77,34585.71,0
2015-03-09,11.57,11.8,11.45,11.8,37344.65,0
2015-03-06,11.53,11.74,11.45,11.68,54082.05,0
2015-03-05,11.79,11.81,11.4,11.49,72345.73,0
2015-03-04,11.87,12.01,11.7,11.79,50788.38,0
2015-03-03,12.03,12.05,11.86,11.86,47719.35,0
2015-03-02,12.16,12.2,11.75,12.13,53000.25,0
2015-02-27,12.06,12.45,12.0,12.03,53959.94,0
2015-02-26,12.02,12.17,11.95,12.06,46018.73,0
2015-02-25,11.5,12.45,11.46,12.08,75044.18,0
2015-02-24,11.64,11.7,11.57,11.58,525.0,0
2015-02-17,11.5,11.72,11.33,11.57,50913.17,0
2015-02-16,11.64,11.98,11.46,11.57,80808.08,0
2015-02-13,11.44,11.58,11.33,11.56,56258.99,0
