date,open,close,volume
2015-12-31,24.97,24.59,83431.03
2015-12-30,24.77,24.94,76108.3
2015-12-29,24.48,24.67,87722.31
2015-12-28,25.87,24.36,91899.19
2015-12-25,25.98,25.71,76890.54
2015-12-24,26.36,26.07,91782.97
2015-12-23,27.7,26.6,107861.03
2015-12-22,27.36,27.81,75284.29
2015-12-21,27.16,27.55,77736.14
2015-12-18,27.73,27.13,80131.65
2015-12-17,26.98,27.75,157552.11
2015-12-16,26.39,26.97,87189.07
2015-12-15,25.9,26.4,82999.64
2015-12-14,26.02,26.06,117106.19
2015-12-11,27.93,26.68,88631.52
2015-12-10,27.45,27.87,169802.11
2015-12-09,25.5,27.49,150120.23
2015-12-08,25.59,26.06,126155.39
2015-12-07,25.34,25.75,66378.04
2015-12-04,25.78,25.16,98231.66
2015-12-03,24.5,25.79,87334.77
2015-12-02,26.52,24.42,154562.62
2015-12-01,26.13,26.65,98303.95
2015-11-30,25.5,26.69,143440.95
2015-11-27,27.5,25.35,155936.38
2015-11-26,29.0,28.05,156604.34
2015-11-25,28.1,28.65,110826.76
2015-11-24,27.4,28.55,121835.86
2015-11-23,29.0,27.75,163162.25
2015-11-20,28.0,29.4,248457.81
2015-11-19,25.08,27.95,247676.88
2015-11-18,23.32,25.41,270469.03
2015-11-17,23.9,23.35,138113.73
2015-11-16,22.2,23.49,115101.87
2015-11-13,23.55,22.72,126939.75
2015-11-12,24.33,23.98,133149.39
2015-11-11,23.3,24.36,191223.89
2015-11-10,22.84,23.48,184850.84
2015-11-09,21.91,22.82,171064.84
2015-11-06,21.51,22.19,152619.47
2015-11-05,21.98,21.47,176061.48
2015-11-04,21.18,22.03,184443.69
2015-11-03,20.8,21.0,83030.42
2015-11-02,20.5,20.7,107600.16
2015-10-30,21.55,20.87,131040.64
2015-10-29,21.55,21.8,188784.44
2015-10-28,21.1,22.28,316482.56
2015-10-27,19.91,20.56,137461.19
2015-10-26,20.17,20.18,140137.34
2015-10-23,19.99,19.78,142652.61
2015-10-22,18.24,18.85,137553.33
2015-10-21,19.95,18.09,159939.78
2015-10-20,19.43,20.1,160038.38
2015-10-19,20.4,19.64,178496.05
2015-10-16,19.61,20.64,199169.94
2015-10-15,18.51,19.5,138067.91
2015-10-14,19.45,18.61,154190.33
2015-10-13,19.42,19.56,151702.42
2015-10-12,18.95,19.77,148067.59
2015-10-09,18.56,18.83,135965.75
2015-10-08,18.63,18.56,188368.03
2015-10-07,18.3,18.6,5505.0
2015-09-30,19.08,17.95,263120.0
2015-09-29,16.58,18.87,335943.19
2015-09-28,16.2,17.15,169447.52
2015-09-25,16.65,16.0,130650.72
2015-09-24,16.81,16.69,127767.92
2015-09-23,16.31,16.62,160106.66
2015-09-22,16.6,16.8,241287.84
2015-09-21,14.98,16.36,152621.06
2015-09-18,15.0,15.4,118286.96
2015-09-17,14.5,14.8,191724.05
2015-09-16,13.63,14.86,152183.55
2015-09-15,14.05,13.51,144634.56
2015-09-14,16.8,15.01,109263.02
2015-09-11,16.29,16.68,105359.86
2015-09-10,16.8,16.32,139085.84
2015-09-09,16.62,17.17,297824.66
2015-09-08,15.0,16.5,208686.59
2015-09-07,14.5,15.15,202770.27
2015-09-02,12.91,14.3,272158.91
2015-09-01,15.1,13.88,167559.91
2015-08-31,16.73,15.42,203685.48
2015-08-28,15.38,16.58,257736.95
2015-08-27,14.85,15.07,229022.12
2015-08-26,15.43,13.98,226001.67
2015-08-25,15.51,15.44,188554.73
2015-08-24,18.06,17.16,197835.55
2015-08-21,20.49,19.07,182795.62
2015-08-20,21.9,21.19,199960.52
2015-08-19,21.87,22.56,295104.12
2015-08-18,25.7,22.98,208756.45
2015-08-17,24.7,25.53,226826.44
2015-08-14,25.48,24.68,204090.06
2015-08-13,24.6,25.08,170489.81
2015-08-12,24.98,24.29,196289.23
2015-08-11,24.84,25.6,306124.81
2015-08-10,24.2,24.8,307270.75
2015-08-07,22.98,23.58,241712.2
2015-08-06,22.22,22.3,200631.5
2015-08-05,24.3,23.49,355644.31
2015-08-04,22.7,25.4,467493.47
2015-08-03,22.89,23.1,554261.81
2015-07-31,25.43,25.43,90333.0
2015-07-30,28.25,28.25,96580.0
2015-07-29,31.39,31.39,6807.0
2015-07-28,34.88,34.88,866.0
2015-07-27,38.76,38.76,1809.0
2015-06-12,44.0,43.07,145862.25
2015-06-11,39.3,40.61,91319.8
2015-06-10,38.48,39.3,78600.86
2015-06-09,37.0,38.5,82134.28
2015-06-08,39.9,37.8,136042.91
2015-06-05,42.7,41.18,133317.09
2015-06-04,43.48,42.34,114882.4
2015-06-03,45.58,44.15,103047.64
2015-06-02,43.68,46.0,82532.34
2015-06-01,40.9,43.58,80790.49
2015-05-29,39.0,40.0,120180.46
2015-05-28,42.05,39.3,89437.16
2015-05-27,39.19,42.06,117142.76
2015-05-26,38.5,39.2,151564.25
2015-05-25,37.3,39.03,100901.79
2015-05-22,40.15,38.48,129286.65
2015-05-21,36.5,40.15,131051.59
2015-05-20,34.63,36.62,131631.23
2015-05-19,33.4,34.62,78727.85
2015-05-18,33.65,33.04,90702.13
2015-05-15,34.11,34.23,82211.3
2015-05-14,31.09,34.4,121107.9
2015-05-13,31.53,31.27,96738.14
2015-05-12,32.51,32.79,91159.31
2015-05-11,32.23,32.51,154301.73
2015-05-08,28.7,31.33,133461.7
2015-05-07,28.01,28.76,126710.95
2015-05-06,26.18,28.6,189796.28
2015-05-05,25.01,26.59,166607.55
2015-05-04,25.66,25.3,97633.73
2015-04-30,23.33,25.64,141555.69
2015-04-29,22.91,23.31,61558.71
2015-04-28,24.15,22.87,116030.46
2015-04-27,24.99,24.13,101181.68
2015-04-24,24.93,24.65,113085.75
2015-04-23,25.02,25.49,102524.4
2015-04-22,24.97,24.95,106240.39
2015-04-21,23.42,24.65,94928.39
2015-04-20,24.58,23.41,132663.36
2015-04-17,25.35,24.68,114609.12
2015-04-16,25.0,25.35,110080.2
2015-04-15,27.0,25.8,111219.02
2015-04-14,26.56,27.02,198576.23
2015-04-13,26.15,26.83,263224.66
2015-04-10,22.82,25.98,313272.22
2015-04-09,23.49,23.62,216897.44
2015-04-08,22.75,23.47,262529.16
2015-04-07,22.97,22.79,167049.27
2015-04-03,22.3,22.77,160025.56
2015-04-02,22.22,22.48,110461.76
2015-04-01,21.68,22.14,116845.96
2015-03-31,21.2,21.68,90426.58
2015-03-30,22.15,21.05,107423.55
2015-03-27,22.3,22.19,82370.2
2015-03-26,23.39,22.36,74170.8
2015-03-25,22.57,23.8,143429.31
2015-03-24,22.8,22.57,123288.29
2015-03-23,23.06,23.01,97229.77
2015-03-20,23.13,23.06,76342.6
2015-03-19,23.1,23.63,79392.83
2015-03-18,22.68,22.9,65332.99
2015-03-17,22.8,22.74,67900.27
2015-03-16,21.9,22.9,139149.91
2015-03-13,20.3,21.8,128096.82
2015-03-12,21.2,20.62,102518.41
