date,open,close,volume
2015-12-31,11.62,11.09,83500.5
2015-12-30,11.12,11.57,110464.41
2015-12-29,11.18,11.11,84675.54
2015-12-28,11.55,11.01,118541.64
2015-12-25,11.49,11.55,79389.51
2015-12-24,11.25,11.49,92733.22
2015-12-23,11.69,11.31,135573.88
2015-12-22,11.7,11.85,180877.12
2015-12-21,10.89,11.7,242225.59
2015-12-18,10.99,10.93,126294.81
2015-12-17,11.15,11.12,180458.97
2015-12-16,10.63,10.79,102491.47
2015-12-15,10.51,10.59,98740.99
2015-12-14,10.07,10.53,85867.4
2015-12-11,10.2,10.16,79916.32
2015-12-10,10.3,10.12,84436.15
2015-12-09,10.51,10.29,110701.24
2015-12-08,10.99,10.61,123603.76
2015-12-07,10.95,11.14,174581.64
2015-12-04,10.97,10.96,132765.62
2015-12-03,10.48,11.03,135350.78
2015-12-02,10.69,10.4,104337.33
2015-12-01,10.5,10.67,166436.98
2015-11-30,11.15,10.66,204710.95
2015-11-27,12.2,11.02,240414.16
2015-11-26,12.63,12.24,188808.02
2015-11-25,12.28,12.7,197917.34
2015-11-24,12.6,12.25,226012.23
2015-11-23,13.0,12.75,249737.84
2015-11-20,12.15,13.2,409821.78
2015-11-19,11.5,12.0,293940.53
2015-11-18,11.93,11.5,281630.03
2015-11-17,11.7,12.08,565451.81
2015-11-16,10.67,11.47,353873.31
2015-11-13,10.61,10.43,265208.44
2015-11-12,10.4,10.83,610343.12
2015-11-11,9.91,10.6,632230.19
2015-11-10,9.4,9.64,209883.94
2015-11-09,8.91,9.44,226029.34
2015-11-06,8.86,9.02,125630.42
2015-11-05,9.0,8.87,148940.05
2015-11-04,8.5,9.0,132530.42
2015-11-03,8.54,8.48,103226.77
2015-11-02,8.8,8.52,126311.45
2015-10-30,9.09,9.02,127133.7
2015-10-29,9.31,9.24,225544.2
2015-10-28,9.95,9.31,296730.53
2015-10-27,9.1,9.9,416467.47
2015-10-26,8.71,9.0,264162.38
2015-10-23,8.55,8.63,205928.06
2015-10-22,7.71,8.55,229094.19
2015-10-21,8.8,7.98,342019.09
2015-10-20,8.2,8.87,317666.66
2015-10-19,8.38,8.06,194587.62
2015-10-16,8.06,8.22,218299.52
2015-10-15,7.53,7.94,191061.88
2015-10-14,7.45,7.59,202402.08
2015-10-13,7.48,7.53,146663.02
2015-10-12,7.11,7.52,191384.97
2015-10-09,6.85,7.1,144767.31
2015-10-08,6.71,6.84,109365.88
2015-10-07,6.65,6.66,573.0
2015-09-30,6.67,6.54,54901.69
2015-09-29,6.61,6.68,75793.64
2015-09-28,6.66,6.76,80028.47
2015-09-25,7.1,6.66,166185.12
2015-09-24,6.78,7.17,221370.72
2015-09-23,6.78,6.77,181507.7
2015-09-22,6.58,6.78,175884.62
2015-09-21,6.2,6.53,116349.92
2015-09-18,6.25,6.26,107176.95
2015-09-17,6.72,6.23,197848.5
2015-09-16,6.24,6.73,176448.95
2015-09-15,6.5,6.26,143997.09
2015-09-14,7.88,6.96,149836.45
2015-09-11,7.7,7.73,188329.62
2015-09-10,8.05,7.7,292398.5
2015-09-09,7.36,8.09,354579.09
2015-09-08,6.98,7.35,315550.03
2015-09-07,8.34,7.51,467332.25
2015-09-02,8.34,8.34,189083.06
2015-07-07,7.58,7.58,24393.0
2015-07-06,10.15,8.42,170400.31
2015-07-03,9.36,9.36,135546.78
2015-07-02,11.02,10.4,145371.83
2015-07-01,12.5,11.56,221994.2
2015-06-30,12.47,12.84,264347.16
2015-06-29,14.27,12.47,247810.59
2015-06-26,14.9,13.86,281290.94
2015-06-25,15.0,15.4,399589.06
2015-06-24,13.7,14.77,263883.88
2015-06-23,13.86,13.56,259760.7
2015-06-19,15.45,14.63,247420.75
2015-06-18,15.8,16.25,383117.38
2015-06-17,16.87,16.14,540052.0
2015-06-16,14.88,16.35,605589.88
2015-06-15,14.26,14.86,441081.41
2015-06-12,13.86,14.26,415615.34
