date,open,close,volume
2015-12-31,53.58,52.9,22059.98
2015-12-30,53.98,54.29,53672.59
2015-12-29,49.5,53.7,27216.09
2015-12-28,52.0,50.32,23034.52
2015-12-25,53.45,52.45,26221.52
2015-12-24,52.2,53.48,38717.04
2015-12-23,51.0,53.13,42795.75
2015-12-22,51.19,50.99,16177.94
2015-12-21,50.95,51.34,22845.67
2015-12-18,49.13,51.8,62547.67
2015-12-17,48.44,49.66,33713.36
2015-12-16,47.8,48.0,24806.92
2015-12-15,46.0,47.8,31456.43
2015-12-14,42.8,45.71,21421.36
2015-12-11,44.21,43.16,14050.68
2015-12-10,44.33,44.19,14948.04
2015-12-09,46.9,44.85,21679.06
2015-12-08,48.4,47.18,26270.49
2015-12-07,48.02,48.25,26074.24
2015-12-04,47.57,47.77,32612.58
2015-12-03,45.48,48.06,34337.76
2015-12-02,46.52,45.1,25105.92
2015-12-01,46.2,46.49,38182.02
2015-11-30,43.99,46.89,31957.56
2015-11-27,47.01,44.3,31617.2
2015-11-26,46.26,47.78,40654.78
2015-11-25,46.01,46.23,26566.02
2015-11-24,42.45,46.39,30700.67
2015-11-23,43.91,42.95,20025.7
2015-11-20,43.69,43.9,19238.61
2015-11-19,41.54,43.46,17667.33
2015-11-18,43.55,41.48,18592.84
2015-11-17,44.6,43.48,25838.5
2015-11-16,42.55,44.53,21279.88
2015-11-13,46.7,44.5,43308.89
2015-11-12,46.5,47.62,48014.42
2015-11-11,43.46,46.05,33416.42
2015-11-10,43.38,43.21,30820.88
2015-11-09,42.56,44.18,41279.01
2015-11-06,39.98,41.53,32546.86
2015-11-05,40.04,39.38,32027.39
2015-11-04,39.3,40.47,38231.28
2015-11-03,37.9,39.15,33775.45
2015-11-02,36.0,37.9,34931.97
2015-10-30,36.97,36.88,19168.15
2015-10-29,36.02,37.21,19720.01
2015-10-28,37.0,36.02,15976.27
2015-10-27,36.96,37.48,26567.21
2015-10-26,37.0,37.2,26065.06
2015-10-23,36.11,36.98,31983.69
2015-10-22,33.72,36.3,30196.29
2015-10-21,38.39,34.56,31112.64
2015-10-20,39.0,38.4,33643.61
2015-10-19,37.8,39.05,49278.73
2015-10-16,38.0,37.79,40391.8
2015-10-15,36.39,37.42,34154.51
2015-10-14,36.7,36.38,28212.78
2015-10-13,36.45,37.01,37720.34
2015-10-12,36.23,37.5,88388.38
2015-10-09,37.0,37.05,68301.3
2015-10-08,33.0,36.06,55839.01
2015-10-07,32.78,32.78,739.0
2015-09-30,29.8,32.78,51504.3
2015-09-29,30.0,29.8,10334.9
2015-09-28,28.96,30.79,15070.91
2015-09-25,31.55,28.9,12999.0
2015-09-24,31.76,31.96,12629.69
2015-09-23,31.5,31.28,13846.68
2015-09-22,32.49,32.2,32542.89
2015-09-21,31.0,32.49,36591.61
2015-09-18,29.41,31.35,24282.89
2015-09-17,26.91,29.9,25524.55
2015-09-16,25.22,27.52,7553.97
2015-09-15,27.0,25.2,8955.54
2015-09-14,30.83,28.0,6912.96
2015-09-11,30.12,30.75,5331.96
2015-09-10,30.61,30.1,7446.95
2015-09-09,29.91,30.96,14054.96
2015-09-08,28.5,30.04,8613.64
2015-09-07,28.0,28.71,5810.01
2015-09-02,27.26,27.86,5092.0
2015-09-01,30.01,28.51,8649.57
2015-08-31,33.09,30.49,8680.03
2015-08-28,31.58,33.5,15363.49
2015-08-27,31.5,31.52,14221.49
2015-08-26,31.7,30.9,18870.36
2015-08-25,30.79,30.78,30180.36
2015-08-24,35.77,34.2,12381.87
